Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Barwon Catchment,Barwon Catchment,Barwon Catchment,Barwon Catchment,Barwon Catchment,Barwon Catchment,2022-10-14 08:20:02.117403+11:00,VIC
Barwon R at Ricketts Marsh,8.00am Fri,5.87,falling,minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Barwon R at Kildean Lane,7.00am Fri,5.72,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Barwon R at Winchelsea,7.00am Fri,3.99,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Barwon R at Inverleigh,7.00am Fri,1.57,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Warrambine Ck at Warrambine,7.00am Fri,1.16,falling,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Barwon R at Pollocksford,8.13am Fri,3.31,rising,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Barwon R at Geelong,7.00am Fri,2.12,rising,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Cheetham Salt Works,8.14am Fri,0.61,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,2022-10-14 08:20:02.117403+11:00,VIC
Hovells Ck at Lara,6.47am Fri,7.03^,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Moorabool R at Lal Lal,8.00am Fri,1.35,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Moorabool R at Morrisons,7.00am Fri,4.43^,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Moorabool R at Batesford,7.00am Fri,2.17^,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Leigh Catchment,Leigh Catchment,Leigh Catchment,Leigh Catchment,Leigh Catchment,Leigh Catchment,2022-10-14 08:20:02.117403+11:00,VIC
Leigh R at Mt Mercer,8.10am Fri,3.41,falling,moderate,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Leigh R at Shelford (Town Bridge),8.00am Fri,7.82,steady,moderate,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Hopkins Basin,Hopkins Basin,Hopkins Basin,Hopkins Basin,Hopkins Basin,Hopkins Basin,2022-10-14 08:20:02.117403+11:00,VIC
Merri R at Woodford,7.00am Fri,3.45,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Mt Emu Ck at Mena Park,7.00am Fri,3.01^,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Mt Emu Ck at Guthries Bridge,8.00am Fri,3.61,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Mt Emu Ck at Skipton,7.00am Fri,4.82,steady,moderate,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Hopkins R at Ararat,7.00am Fri,2.82,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Hopkins R at Wickliffe,7.00am Fri,3.34^,falling,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Hopkins R at Framlingham,8.00am Fri,2.55,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,2022-10-14 08:20:02.117403+11:00,VIC
Curdies R at Peterborough,8.00am Fri,1.00,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Curdies R at Curdie,8.00am Fri,5.47,falling,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,2022-10-14 08:20:02.117403+11:00,VIC
Moyne R at Toolong,7.00am Fri,1.41,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Moyne R at Willatook,8.00am Fri,1.86,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Moyne R at Gipps St Bridge,8.00am Fri,0.44,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Murray Brook at Lenehans Road,8.00am Fri,1.34,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Darlot Ck at Homerton,7.00am Fri,1.19^,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,2022-10-14 08:20:02.117403+11:00,VIC
Glenelg R at Harrow,7.00am Fri,0.77,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Glenelg R at Fulham Bridge,7.00am Fri,1.09,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Glenelg R at Dergholm,7.00am Fri,1.62,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Wando River at Wando Vale,7.00am Fri,0.62^,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Glenelg R at Casterton,8.00am Fri,0.74,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
Glenelg R at Sandford,8.00am Fri,1.29,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,VIC
