Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,2022-10-14 11:30:02.249392+11:00,VIC
Wonnangatta R at Crooked River,11.00am Fri,3.18,rising,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Wonnangatta R at Waterford,11.00am Fri,3.20,rising,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Dargo R at Lower Dargo Rd,10.00am Fri,2.16^,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Mitchell R at Glenaladale,10.51am Fri,1.78,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Mitchell R at Rosehill,11.01am Fri,2.63,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Mitchell R at Bairnsdale,10.58am Fri,1.94,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Tambo Catchment,Tambo Catchment,Tambo Catchment,Tambo Catchment,Tambo Catchment,Tambo Catchment,2022-10-14 11:30:02.249392+11:00,VIC
Tambo R at Swifts Ck,11.00am Fri,2.14,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Timbarra R DS Wilkinson Ck,10.31am Fri,2.16,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Tambo R at D/S Ramrod Ck,10.40am Fri,0.99,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Tambo R at Batterns Landing,9.22am Fri,1.35,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Nicholson R DS Pumphouse,11.00am Fri,0.19,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Snowy Catchment,Snowy Catchment,Snowy Catchment,Snowy Catchment,Snowy Catchment,Snowy Catchment,2022-10-14 11:30:02.249392+11:00,VIC
Snowy R at Dalgety Weir,8.45am Fri,1.59,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Bombala R at Bombala,11.00am Fri,1.23,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Little Plains R at Wellesley,11.00am Fri,0.80,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Delegate R at Quidong,11.00am Fri,0.77,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Snowy R at Burnt Hut Crossing,9.00am Fri,2.17,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Suggan Buggan R at Suggan Buggan,10.00am Fri,1.02,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Snowy R at McKillops Bridge,11.00am Fri,2.42,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Snowy R at Basin Ck,9.53am Fri,3.11,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Buchan R at Buchan,11.00am Fri,1.38,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Snowy R at Jarrahmond,11.00am Fri,2.56,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Snowy R at Orbost,11.00am Fri,2.59,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Brodribb R at Sardine Ck,11.00am Fri,0.75,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Bemm Catchment,Bemm Catchment,Bemm Catchment,Bemm Catchment,Bemm Catchment,Bemm Catchment,2022-10-14 11:30:02.249392+11:00,VIC
Bemm R at Princes Highway,11.00am Fri,2.30,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Bemm R U/S of Pumphouse,10.00am Fri,1.07,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Cann Catchment,Cann Catchment,Cann Catchment,Cann Catchment,Cann Catchment,Cann Catchment,2022-10-14 11:30:02.249392+11:00,VIC
Cann R at Chandlers Ck,11.00am Fri,0.51,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Cann R at Weeragua,9.00am Fri,1.57,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Cann R U/S Cann R Offtake,11.00am Fri,0.71,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Genoa Catchment,Genoa Catchment,Genoa Catchment,Genoa Catchment,Genoa Catchment,Genoa Catchment,2022-10-14 11:30:02.249392+11:00,VIC
Genoa R at Wangarabell,11.00am Fri,1.44,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Genoa R at The Gorge,11.00am Fri,0.82,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Gippsland Lakes,Gippsland Lakes,Gippsland Lakes,Gippsland Lakes,Gippsland Lakes,Gippsland Lakes,2022-10-14 11:30:02.249392+11:00,VIC
Hollands Landing,11.14am Fri,0.25,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Loch Sport Marina,11.00am Fri,0.20,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
McMillan Strait at Paynesville,10.57am Fri,0.22,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Nicholson R DS Pumphouse,11.00am Fri,0.19,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Tambo R at Batterns Landing,9.22am Fri,1.35,steady,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Metung Marina,11.00am Fri,0.22,steady,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Cunningham Arm at Bullock Island,11.00am Fri,0.44,rising,below minor,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
Lakes Entrance Breakwater,11.09am Fri,0.44^,rising,,Plot | Table,2022-10-14 11:30:02.249392+11:00,VIC
