Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,2022-10-13 14:24:34.630307+11:00,VIC
Werribee R at Ballan,2.11pm Thu,1.11,rising,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Werribee R at Bacchus Marsh,1.03pm Thu,0.43,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Parwan Ck at Parwan,12.55pm Thu,-0.62,rising,,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Lerderderg R at Sardine Ck,1.00pm Thu,2.49,rising,minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Lerderderg R at U/S Goodman Ck,2.07pm Thu,0.78,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Werribee R at Melton Res D/S,1.54pm Thu,0.99^,rising,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Toolern Ck at Melton South,1.30pm Thu,0.53,rising,,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Werribee R at Werribee Cottrell St,2.12pm Thu,1.15,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,2022-10-13 14:24:34.630307+11:00,VIC
Deep Ck at Konagaderra,7.31pm Wed,1.55,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Deep Ck at Bulla,10.02am Thu,1.38,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Jacksons Ck at Sunbury,6.40am Thu,2.14,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Maribyrnong R at Keilor,2.12pm Thu,0.87,rising,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Maribyrnong R at Maribyrnong,2.08pm Thu,0.13,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
Stony Ck at Spotswood,2.11pm Thu,1.27,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,VIC
