Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,Mitchell Catchment,2022-10-14 06:20:01.868272+11:00,VIC
Wonnangatta R at Crooked River,6.00am Fri,2.78,rising,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Wonnangatta R at Waterford,6.00am Fri,2.76,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Dargo R at Lower Dargo Rd,5.00am Fri,2.07^,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Mitchell R at Glenaladale,5.21am Fri,1.71,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Mitchell R at Rosehill,6.13am Fri,2.54,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Mitchell R at Bairnsdale,4.15am Fri,1.91,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Tambo Catchment,Tambo Catchment,Tambo Catchment,Tambo Catchment,Tambo Catchment,Tambo Catchment,2022-10-14 06:20:01.868272+11:00,VIC
Tambo R at Swifts Ck,6.00am Fri,2.12,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Timbarra R DS Wilkinson Ck,5.38am Fri,2.15,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Tambo R at D/S Ramrod Ck,6.09am Fri,1.00,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Tambo R at Batterns Landing,4.29am Fri,1.34,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Nicholson R DS Pumphouse,6.00am Fri,0.20,falling,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Snowy Catchment,Snowy Catchment,Snowy Catchment,Snowy Catchment,Snowy Catchment,Snowy Catchment,2022-10-14 06:20:01.868272+11:00,VIC
Snowy R at Dalgety Weir,5.15am Fri,1.59,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Bombala R at Bombala,6.00am Fri,1.24,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Little Plains R at Wellesley,6.00am Fri,0.80,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Delegate R at Quidong,6.00am Fri,0.77,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Snowy R at Burnt Hut Crossing,3.15am Fri,2.17,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Suggan Buggan R at Suggan Buggan,5.00am Fri,0.99,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Snowy R at McKillops Bridge,6.00am Fri,2.42,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Snowy R at Basin Ck,5.26am Fri,3.13,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Buchan R at Buchan,6.00am Fri,1.39,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Snowy R at Jarrahmond,6.00am Fri,2.59,rising,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Snowy R at Orbost,6.00am Fri,2.59,steady,below minor,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Brodribb R at Sardine Ck,6.00am Fri,0.75,steady,,Plot | Table,2022-10-14 06:20:01.868272+11:00,VIC
Bemm Catchment,Bemm Catchment,Bemm Catchment,Bemm Catchment,Bemm Catchment,Bemm Catchment,2022-10-14 06:20:01.868272+11:00,VIC
