Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Goulburn Catchment,Goulburn Catchment,Goulburn Catchment,Goulburn Catchment,Goulburn Catchment,Goulburn Catchment,2022-10-14 15:30:02.206410+11:00,VIC
Delatite R at Tonga Bridge,2.00pm Fri,2.46^,falling,below minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Jamieson R at Gerrang Bridge,2.00pm Fri,2.95^,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Dohertys,2.00pm Fri,2.87^,rising,minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Lake Eildon D/S,2.00pm Fri,4.95^,steady,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Rubicon R at Rubicon,2.00pm Fri,1.22,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Acheron R at Taggerty,3.03pm Fri,2.76,steady,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Home Ck at Yarck,3.11pm Fri,1.35,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Yea R at Devlins Bridge,3.11pm Fri,2.66,steady,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Yea R at Yea,3.02pm Fri,2.87,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Ghin Ghin,2.00pm Fri,7.71,falling,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
King Parrot Ck at Flowerdale,2.00pm Fri,1.68^,falling,below minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Trawool,2.00pm Fri,7.43^,falling,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Sunday Ck at Tallarook,2.00pm Fri,3.82^,falling,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Mollison Ck at Pyalong,1.42pm Fri,1.52,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Sugarloaf Ck at Ash Bridge,2.00pm Fri,3.27^,falling,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Seymour,3.00pm Fri,7.40,falling,major,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Whiteheads Ck at Seymour,3.06pm Fri,2.47,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Hughes Ck at Tarcombe Road,3.09pm Fri,2.71,steady,minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Major Ck at Graytown,2.00pm Fri,3.16^,falling,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Goulburn Weir HG,2.00pm Fri,124.14,rising,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R D/S Goulburn Weir,3.00pm Fri,13.77,rising,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Murchison,3.14pm Fri,10.54,rising,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Pranjip Ck at Moorilim,3.08pm Fri,4.29,rising,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Arcadia Downs,3.09pm Fri,9.67,steady,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Goulburn R at Shepparton,2.58pm Fri,9.56,steady,minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Seven and Castle Creeks Catchment,Seven and Castle Creeks Catchment,Seven and Castle Creeks Catchment,Seven and Castle Creeks Catchment,Seven and Castle Creeks Catchment,Seven and Castle Creeks Catchment,2022-10-14 15:30:02.206410+11:00,VIC
Seven Cks at Strathbogie,3.08pm Fri,1.90,steady,minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Seven Cks at D/S Polly McQuinns,3.14pm Fri,1.30,falling,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Seven Cks at Galls Gap,3.06pm Fri,2.43,steady,minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Seven Cks at Euroa,3.14pm Fri,4.38,steady,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Seven Cks at Kialla West,3.06pm Fri,5.18,rising,moderate,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Castle Ck at Telford Bridge,3.08pm Fri,1.26,steady,minor,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Castle Ck at Arcadia,2.54pm Fri,2.12,rising,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
Honeysuckle Ck at Violet Town,3.12pm Fri,0.59,falling,,Plot | Table,2022-10-14 15:30:02.206410+11:00,VIC
