Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,2022-10-13 16:19:08.589421+11:00,VIC
Murray R at Biggara,4.00pm Thu,1.11,steady,below minor,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Murray R at Bringenbrong,4.00pm Thu,2.07,steady,below minor,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Corryong Ck at Towong,4.00pm Thu,1.42,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Mannus Ck at Yarramundi,4.00pm Thu,0.81,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Manus Ck at Tooma,4.00pm Thu,0.62,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Tumbarumba Ck at Tumba2,4.00pm Thu,0.91,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Maragle Ck at Maragle,3.45pm Thu,0.65,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Tumbarumba Ck at Bakers,4.00pm Thu,2.24,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Welumba Ck at The Square,4.00pm Thu,0.69,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Tooma R at Pinegrove,4.00pm Thu,2.21,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Cudgewa Ck at Berringama,4.00pm Thu,1.77,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Cudgewa Ck at Cudgewa North,4.00pm Thu,0.94,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Murray R at Jingellic,4.00pm Thu,2.61,steady,below minor,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
Jingellic Ck at Jingellic,4.00pm Thu,1.64,steady,,Plot | Table,2022-10-13 16:19:08.589421+11:00,VIC
