Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Mid North,Mid North,Mid North,Mid North,Mid North,Mid North,Mid North,2022-10-13 12:16:01.337405+11:00,SA
Hutt R at Clare Car. Park (DEW),11.10am Thu,1.02,steady,0.02 above weir,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Far North,Far North,Far North,Far North,Far North,Far North,Far North,2022-10-13 12:16:01.337405+11:00,SA
Cooper Ck at Nappa Merrie,10.00am Thu,1.51,steady,5.69 below bridge,below minor,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Cooper Ck at Cullyamurra WH (DEW),10.50am Thu,2.01,steady,0.11 above causeway,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Cooper Ck NW Ch US Coongie L(DEW),11.00am Thu,3.83,steady,,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Diamantina R at Birdsville (DEW),10.35am Thu,1.24,steady,0.62 above causeway,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Warburton R at PoothapootaWH (DEW),11.00am Thu,0.84,steady,,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Neales R South Stewart WH (DEW),9.00am Thu,5.93,steady,,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
Neales R Algebuckina WH (DEW),9.00am Thu,4.74,steady,,,Plot | Table,2022-10-13 12:16:01.337405+11:00,SA
