Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Wentworth (Lock 10),8.00pm Thu,31.80,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 9 (DEW),7.00pm Thu,28.30,rising,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 9 (DEW),7.00pm Thu,28.29,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 8 (DEW),7.05pm Thu,26.37,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 8 (DEW),7.05pm Thu,26.35,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Lake Victoria (DEW),7.05pm Thu,26.21,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 7 (DEW),7.00pm Thu,24.66,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Rufus River (DEW),8.00pm Thu,7.71,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 6 (DEW),7.00pm Thu,19.64,falling,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 6 (DEW),7.00pm Thu,19.58,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Chowilla DS Monoman Ck (DEW),7.00pm Thu,19.17,steady,,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 5 (DEW),7.00pm Thu,16.26,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 5 (DEW),7.00pm Thu,16.21,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Lyrup Pump Stn (DEW),7.00pm Thu,14.85,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Berri Pump Stn (DEW),7.00pm Thu,14.39,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 4 (DEW),7.00pm Thu,14.01,rising,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 4 (DEW),7.00pm Thu,13.96,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Loxton Pump Stn (DEW),6.00pm Thu,12.68,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 3 (DEW),7.00pm Thu,9.82,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 3 (DEW),7.00pm Thu,9.67,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Overland Corner (DEW),7.00pm Thu,9.08,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 2 (DEW),7.05pm Thu,6.93,falling,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 2 (DEW),7.05pm Thu,6.91,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray US Lock 1 (DEW),6.45pm Thu,3.28,falling,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray DS Lock 1 (DEW),7.00pm Thu,3.31,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Swan Reach 3km DS Ferry,7.05pm Thu,2.10,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Marne River at Marne Gorge (DEW),5.55pm Thu,1.12,steady,0.12 above weir,,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Walker Flat (DEW),7.05pm Thu,1.37,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Mannum Wharf (DEW),7.05pm Thu,0.92,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray at Murray Bridge/Long Is.,7.05pm Thu,0.81,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
R Murray 2km DS Wellington ferry,7.05pm Thu,0.78,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
L Alexandrina at Milang Jetty (DEW),7.00pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Lake Albert at Meningie Jetty (DEW),7.00pm Thu,0.79,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Goolwa Channel 2km West of Clayton,7.05pm Thu,0.59,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,7.05pm Thu,0.57,steady,3.43 below approaches,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
US Goolwa Barrage (DEW),7.00pm Thu,0.57,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
DS Goolwa Barrage (DEW),7.05pm Thu,0.08,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
Tauwitchere Barrage (DEW),7.00pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 20:40:02.029062+11:00,SA
