Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,2022-10-14 17:20:02.462501+11:00,VIC
Werribee R at Ballan,5.11pm Fri,1.86,steady,minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Werribee R at Bacchus Marsh,4.31pm Fri,1.25,steady,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Parwan Ck at Parwan,11.45am Fri,0.70,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Lerderderg R at Sardine Ck,5.00pm Fri,1.54,steady,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Lerderderg R at U/S Goodman Ck,5.01pm Fri,1.19,steady,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Werribee R at Melton Res D/S,5.00pm Fri,2.44^,falling,minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Toolern Ck at Melton South,5.13pm Fri,0.77,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Werribee R at Werribee Cottrell St,5.12pm Fri,4.82,falling,moderate,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,2022-10-14 17:20:02.462501+11:00,VIC
Deep Ck at Lancefield,4.22pm Fri,2.71,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Maribyrnong R at Keilor,4.30pm Fri,6.28,falling,major,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Maribyrnong R at Maribyrnong,5.01pm Fri,3.53,falling,major,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Stony Ck at Spotswood,4.59pm Fri,0.94,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Yarra Catchment,Yarra Catchment,Yarra Catchment,Yarra Catchment,Yarra Catchment,Yarra Catchment,2022-10-14 17:20:02.462501+11:00,VIC
Yarra R at Millgrove,5.05pm Fri,1.79,steady,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Little Yarra R at Yarra Junction,4.04pm Fri,1.44,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Woori Yallock Ck at Woori Yallock,1.08pm Fri,2.56,,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Yarra R at Yarra Glen,4.47pm Fri,4.51,steady,minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Olinda Ck at Mt Evelyn,5.05pm Fri,1.30,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Olinda Ck at Lilydale,4.37pm Fri,6.21,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Brushy Ck at Mooroolbark,5.55am Fri,1.87,,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Yarra R at Warrandyte,2.05pm Fri,2.25,rising,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Mullum Mullum Ck at Doncaster East,5.08pm Fri,0.95,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Arthurs Ck at Nutfield,2.06am Fri,4.93,,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Diamond Ck at Eltham,4.50pm Fri,3.49,,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Yarra R at Fitzimons Lane,4.54pm Fri,4.32,falling,minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Plenty R at Greensborough,5.12pm Fri,3.10,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Plenty River at Lower Plenty,5.08pm Fri,3.93,falling,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Koonung Ck at Bulleen,3.57pm Fri,3.44,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Darebin Ck at Bundoora,5.00pm Fri,5.60,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Darebin Ck at Bell St Ivanhoe,5.10pm Fri,1.10,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Merri Ck at Craigeburn,4.46pm Fri,1.88,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Merri Ck at Cooper St,5.13pm Fri,2.65,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Merlynston Ck at Fawkner Cemetry,4.46pm Fri,1.77,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Moonee Ponds Ck at Jacana,4.39pm Fri,1.42,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Merri Ck at Bell St,5.05pm Fri,2.41,rising,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Merri Ck at St Georges Rd,5.02pm Fri,2.90,falling,below minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Yarra R at Johnston St,5.10pm Fri,5.24,rising,minor,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Yarra R at Hawthorn,9.55am Fri,2.44,,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Gardiners Ck at Kinkora Rd,5.12pm Fri,0.75,falling,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Eley Rd East Drain at Eley Rd,5.10pm Fri,0.72,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Gardiners Ck at Blackburn Lake,5.12pm Fri,1.25,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Scotchmans Ck at Huntingdale Rd,5.03pm Fri,2.05,,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Scotchmans Ck at Waverley Rd,5.10pm Fri,2.23,rising,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Gardiners Ck at Ashwood,5.14pm Fri,0.87,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Gardiners Ck at Gardiners,5.13pm Fri,0.57,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Edgars Ck at Edwardes Lake,5.12pm Fri,0.28,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Elsternwick Main Drain,2.05pm Fri,0.39,,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
St Kilda Marina,2.48pm Fri,0.32,rising,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
Dandenong,Dandenong,Dandenong,Dandenong,Dandenong,Dandenong,2022-10-14 17:20:02.462501+11:00,VIC
Bangalook Ck at Montrose,5.13pm Fri,5.57,steady,,Plot | Table,2022-10-14 17:20:02.462501+11:00,VIC
