Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Barwon Catchment,Barwon Catchment,Barwon Catchment,Barwon Catchment,Barwon Catchment,Barwon Catchment,2022-10-13 21:00:02.059151+11:00,VIC
Barwon R at Ricketts Marsh,8.00pm Thu,5.21,rising,minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Barwon R at Kildean Lane,7.00pm Thu,3.66,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Barwon R at Winchelsea,7.00pm Thu,2.40,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Barwon R at Inverleigh,7.00pm Thu,0.96,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Warrambine Ck at Warrambine,7.00pm Thu,1.69,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Barwon R at Pollocksford,8.03pm Thu,1.15,steady,below minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Barwon R at Geelong,8.00pm Thu,1.78,rising,below minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Cheetham Salt Works,7.56pm Thu,0.50,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,Moorabool Catchment,2022-10-13 21:00:02.059151+11:00,VIC
Hovells Ck at Lara,8.02pm Thu,6.00^,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Moorabool R at Lal Lal,8.00pm Thu,1.38,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Moorabool R at Morrisons,7.00pm Thu,1.70^,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Moorabool R at Batesford,7.00pm Thu,1.18^,rising,below minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Leigh Catchment,Leigh Catchment,Leigh Catchment,Leigh Catchment,Leigh Catchment,Leigh Catchment,2022-10-13 21:00:02.059151+11:00,VIC
Leigh R at Mt Mercer,8.10pm Thu,2.51,rising,minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Leigh R at Shelford (Town Bridge),8.00pm Thu,5.68,rising,below minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Hopkins Basin,Hopkins Basin,Hopkins Basin,Hopkins Basin,Hopkins Basin,Hopkins Basin,2022-10-13 21:00:02.059151+11:00,VIC
Merri R at Woodford,7.00pm Thu,1.46,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Mt Emu Ck at Mena Park,7.00pm Thu,2.54^,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Mt Emu Ck at Guthries Bridge,8.00pm Thu,3.05,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Mt Emu Ck at Skipton,7.00pm Thu,4.66,rising,minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Hopkins R at Ararat,7.00pm Thu,3.27,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Hopkins R at Wickliffe,7.00pm Thu,3.76^,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Hopkins R at Framlingham,8.00pm Thu,2.23,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,Otway Coast Basin,2022-10-13 21:00:02.059151+11:00,VIC
Curdies R at Peterborough,8.00pm Thu,0.53,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Curdies R at Curdie,8.00pm Thu,4.17,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,Portland Coast Basin,2022-10-13 21:00:02.059151+11:00,VIC
Moyne R at Toolong,7.00pm Thu,1.24,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Moyne R at Willatook,8.00pm Thu,1.56,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Moyne R at Gipps St Bridge,8.00pm Thu,-0.03,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Murray Brook at Lenehans Road,8.00pm Thu,1.09,rising,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Darlot Ck at Homerton,7.00pm Thu,1.18^,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,Glenelg Catchment,2022-10-13 21:00:02.059151+11:00,VIC
Glenelg R at Harrow,7.00pm Thu,0.71,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Glenelg R at Fulham Bridge,7.00pm Thu,1.03,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Glenelg R at Dergholm,7.00pm Thu,1.62,steady,below minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Wando River at Wando Vale,7.00pm Thu,0.56^,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Glenelg R at Casterton,8.00pm Thu,0.75,steady,below minor,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
Glenelg R at Sandford,8.00pm Thu,1.29,steady,,Plot | Table,2022-10-13 21:00:02.059151+11:00,VIC
