Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,Upper Murray Catchment,2022-10-13 19:50:02.485447+11:00,VIC
Murray R at Biggara,7.00pm Thu,1.11,steady,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Murray R at Bringenbrong,7.00pm Thu,2.07,steady,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Corryong Ck at Towong,7.00pm Thu,1.42,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Mannus Ck at Yarramundi,7.00pm Thu,0.83,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Manus Ck at Tooma,7.00pm Thu,0.63,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Tumbarumba Ck at Tumba2,7.00pm Thu,0.93,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Maragle Ck at Maragle,7.00pm Thu,0.66,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Tumbarumba Ck at Bakers,7.00pm Thu,2.26,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Welumba Ck at The Square,7.00pm Thu,0.69,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Tooma R at Pinegrove,7.00pm Thu,2.23,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Cudgewa Ck at Berringama,7.00pm Thu,1.77,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Cudgewa Ck at Cudgewa North,7.00pm Thu,0.96,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Murray R at Jingellic,7.00pm Thu,2.65,steady,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
Jingellic Ck at Jingellic,7.00pm Thu,1.67,steady,,Plot | Table,2022-10-13 19:50:02.485447+11:00,VIC
