Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Edgars Ck at Edwardes Lake,6.11am Fri,0.51,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Elsternwick Main Drain,11.22pm Thu,1.18,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
St Kilda Marina,5.30am Fri,0.46,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dandenong,Dandenong,Dandenong,Dandenong,Dandenong,Dandenong,2022-10-14 06:50:01.628932+11:00,VIC
Bangalook Ck at Montrose,6.13am Fri,6.41,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dandenong Ck at the Basin,6.08am Fri,8.43,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dandenong Ck at Heathmont,6.12am Fri,3.54,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Blind Ck at Knox,6.13am Fri,1.25,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Blind Ck at Wantirna south,6.09am Fri,3.79,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dandenong Ck at Rowville,6.10am Fri,4.42,steady,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Mile Ck at Springvale West,6.13am Fri,0.18,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dandenong Ck at Hammond Rd,6.10am Fri,2.70,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dandenong Ck at Greens Rd,6.06am Fri,2.52,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Mile Ck at Keysborough,5.53am Fri,0.60,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Eumemmering Ck at Narre Warren Nth,6.04am Fri,1.07,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Hallam Valley at Hampton Park,5.54am Fri,2.83,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
