Site,Site name,Lat,Lon,Rank
40801,Kandanga Tm,-26.3878,152.6842,1
40816,Amberley (Dnrm) Tm,-27.6658,152.6989,1
40824,Fishermans Pocket Tm,-26.1711,152.5994,1
40848,Lower Springbrook Alert,-28.2069,153.2708,1
40825,Marodian Tm,-25.9,152.3497,1
40827,Ban Ban Tm,-25.7108,151.8083,1
40980,Deception Bay Alert,-27.1822,153.0186,1
40831,Ipswich Alert,-27.6117,152.7611,1
40832,Forest Home Tm,-28.2033,152.77,1
40833,Home Park Tm,-25.7683,152.525,1
40836,One Mile Bridge Alert,-27.6272,152.7461,1
40842,Brisbane Aero,-27.3917,153.1292,1
40844,Beechmont Alert,-28.1333,153.1899,1
40845,Binna Burra Alert,-28.2006,153.1872,1
40978,Bribie Island Alert,-27.0797,153.1803,1
41008,Bowenville,-27.3033,151.4931,1
40906,Lenthalls Dam Alert,-25.4019,152.5317,1
40908,Tewantin Rsl Park,-26.3911,153.0403,1
40948,Knapps Peak Alert,-28.1461,152.7358,1
40949,Boonah Alert,-28.0033,152.6875,1
40955,Springvale,-25.8197,152.1917,1
40958,Redcliffe,-27.2169,153.0922,1
40962,Ebbw Vale,-27.6053,152.8244,1
40964,Regents Park,-27.6696,153.0442,1
40965,Clontarf,-27.2442,153.0867,1
40969,Godwin Beach,-27.0717,153.1058,1
40976,Brisbane Botanic Gardens Mt Coot-Tha,-27.4753,152.9753,1
40947,Croftby Alert,-28.1481,152.57,1
40979,Morayfield (Petersen Rd) Alert,-27.1247,152.9356,1
40982,River Heads,-25.3967,152.9139,1
40983,Beaudesert Drumley Street,-27.9707,152.9898,1
40985,Bellbird Park (Purser Rd) Al,-27.6692,152.8731,1
40988,Nambour Daff - Hillside,-26.6442,152.9383,1
40993,Gympie Alert,-26.1925,152.655,1
40995,Noosaville,-26.4064,153.1025,1
40998,Caloundra Airport,-26.7979,153.1059,1
40999,Landsborough,-26.7892,152.9792,1
41005,Bell Police,-26.9344,151.4517,1
40981,Burleigh Waters Alert,-28.0792,153.4319,1
40907,Howard Alert,-25.3289,152.5619,1
40946,Rathdowney Alert,-28.2153,152.8681,1
40944,Rudds Lane Alert,-28.1692,152.9833,1
40912,Franklyn Vale Alert,-27.7597,152.47,1
40913,Brisbane,-27.4808,153.0389,1
40914,Mt Tarampa,-27.4942,152.4972,1
40922,Kingaroy Airport,-26.5737,151.8398,1
40924,Woodford Stanmore,-26.9028,152.7664,1
40928,Karalee,-27.5639,152.8208,1
40930,Laheys Lookout Alert,-27.9972,153.1825,1
40931,O'Reillys Alert,-28.2314,153.1356,1
40932,Darlington Alert,-28.2608,153.0917,1
40945,Round Mountain Alert,-28.0708,152.9272,1
40933,Foxley Alert,-28.27,153.0264,1
40935,Maclean Bridge Alert,-27.7864,153.0161,1
40936,Lumeah Alert,-28.0614,153.0408,1
40937,Benobble Alert,-27.9978,153.1575,1
40938,Bromfleet Alert,-27.9108,153.1047,1
40939,Beaudesert Alert,-27.9681,152.9861,1
40940,Yarrahappini Alert,-27.8336,152.9878,1
40941,Kooralbyn Alert,-28.0661,152.8532,1
40942,Palen Creek Alert,-28.3222,152.7697,1
40943,Dieckmans Bridge Alert,-28.2453,152.8908,1
40934,Romani Alert,-27.8464,152.9061,1
41534,Warwick Alert,-28.2111,152.0275,1
41535,Elbow Valley Alert,-28.3731,152.14,1
41536,Murrays Bridge Alert,-28.2883,152.1053,1
44228,Balmacarra,-25.478,146.0502,1
44229,Charleville Al,-26.4025,146.2378,1
44230,Binnowee Al,-26.4842,146.0861,1
44231,Myendetta Al,-26.5458,146.0167,1
44232,The 27 Mile Garden Al,-26.0808,146.4172,1
44234,Barradeen Al,-26.0419,146.4292,1
45003,South Comongin,-26.9011,144.3386,1
532076,Cluden Alert,-19.3114,146.8222,1
45005,Durham Downs,-27.0797,141.9078,1
44223,Derbyshire Downs,-25.4536,147.3031,1
45006,Eromanga - Webber St,-26.6694,143.27,1
45009,Ballera Gas Field,-27.4008,141.8114,1
45010,Mt Howitt,-26.5122,142.2731,1
45011,Mount Margaret,-26.8989,143.3381,1
45015,Quilpie Airport,-26.6125,144.2578,1
45018,Thylungra Station,-26.0853,143.4483,1
45022,Whynot Station,-26.6911,143.9047,1
45024,Nockatunga Station,-27.7217,142.7131,1
45025,Thargomindah Airport,-27.9867,143.815,1
45026,Woomanooka,-27.2506,142.1292,1
45007,Goombie,-26.1133,144.1333,1
45029,Orientos Station,-28.0722,141.5317,1
44212,Dunvegan Tm,-26.1236,146.6228,1
44210,Rocky,-28.4264,145.735,1
44137,Rosehill,-27.8717,148.0344,1
44138,Warida,-26.3567,147.405,1
44139,Kandimulla,-26.8928,147.8167,1
44143,Heather  Station,-28.0781,147.3981,1
44144,Homeboin,-27.6267,147.4453,1
44150,Kahmoo,-28.0964,145.5075,1
44152,Dingwall,-27.4633,146.8519,1
44153,Eulo,-28.1604,145.0463,1
44154,Whyenbah,-28.3875,148.3111,1
44211,Chesterton Tm,-25.3353,147.3,1
44157,Murweh,-27.0028,145.9433,1
44174,Wallen,-27.62,145.8281,1
44181,Hungerford (Paroo River),-28.9972,144.4094,1
44188,Authoringa,-26.6658,146.6083,1
44190,Lochinvar,-25.4697,146.8431,1
44191,Allambie,-26.9353,145.4408,1
44194,Nindigully,-28.3544,148.8217,1
44199,Wetlands,-25.5981,147.1289,1
44208,Warilda,-26.1394,145.6639,1
44209,Oakpark,-26.0581,146.1308,1
44168,Bayrick,-25.4636,146.0272,1
44133,Bogarella,-25.375,147.1072,1
45032,Plevna Downs,-26.6806,142.5942,1
45057,Noccundra Hotel,-27.818,142.59,1
528006,Ok Bridge Tm,-16.4708,144.2894,1
528007,Stewart River Tm,-14.1675,143.3942,1
528008,Hann River Tm,-15.2267,143.8456,1
528009,Rookwood Tm,-16.9822,144.2861,1
528010,Lakeland Downs Tm,-15.8319,144.8376,1
529006,Julia Creek Tm,-20.6667,141.7667,1
529007,Walkers Bend Tm,-18.1667,140.85,1
529009,Gregory Downs Tm,-18.6422,139.2525,1
529010,Floraville Tm,-18.2372,139.8783,1
528005,Kalpowar Crossing Tm,-14.9186,144.21,1
529011,Cloncurry Tm,-20.7039,140.49,1
529013,Gunpowder Tm,-19.6903,139.3572,1
529014,Doughboy Ck Tm,-20.3133,139.7411,1
529015,Dugald River Tm,-20.2017,140.2236,1
529017,Canobie Tm,-19.4769,140.96,1
529018,Etta Plains Tm,-19.7411,141.2658,1
529021,Miranda Creek Tm,-20.0667,139.9333,1
529022,Landsborough Hwy Tm,-20.8728,140.8322,1
529023,Dorunda Tm,-16.5317,142.0597,1
533045,Cormacks Alert,-19.4392,146.8464,1
529012,Glenore Weir Tm,-17.86,141.1286,1
45043,Adavale,-25.9094,144.5989,1
528004,Laura River Tm,-15.6133,144.4844,1
528002,Battle Camp Tm,-15.2822,144.8378,1
45060,Yapunyah Station,-26.3867,143.2003,1
45063,Cameron Corner,-28.9967,141.0,1
45065,Raymore,-26.1422,143.0289,1
45066,Milroy,-26.0467,144.3472,1
140000,Crows Nest John St,-27.2653,152.0564,1
140007,Redland (Alexandra Hills),-27.5433,153.2394,1
200001,Middle Percy Island,-21.6628,150.2711,1
200283,Willis Island,-16.2878,149.9652,1
527003,Telegraph Crossing Tm,-13.4192,142.9192,1
528003,Trimbles Crossing Tm,-16.5469,143.7828,1
527006,Moreton Tm,-12.4539,142.6389,1
527008,Coen Racecourse Tm,-13.955,143.175,1
527009,Fall Ck Tm,-12.8794,142.9842,1
527010,Watson River Tm,-13.1281,142.0525,1
527011,Garraway Ck Tm,-12.6608,143.0478,1
527012,Dulhunty Tm,-11.8339,142.4197,1
531117,Native Wells Alert,-18.1469,145.0934,1
527013,Drumduff Tm,-16.0419,143.0367,1
527016,Holroyd Tm,-14.1192,142.6226,1
528001,Gamboola Tm,-16.5347,143.6769,1
527007,Monument Tm,-11.1514,142.3517,1
44131,Deelamon,-27.5428,147.3036,1
44130,Bendena,-27.8503,146.8789,1
44127,Ashling,-27.3878,147.2858,1
42102,Ripple Downs,-27.9364,150.1425,1
43091,Roma Airport,-26.5477,148.771,1
42104,Surrey Tm,-28.3839,149.6747,1
42105,Nindigully Tm,-28.4167,148.8333,1
42106,Fenton Tm,-28.9417,148.74,1
42110,Leichhardt Highway,-27.1417,150.1458,1
42111,Kinkora,-27.8344,149.6842,1
42112,Miles Constance Street,-26.6569,150.1819,1
42113,Pine Hill Crossing,-26.9097,149.9614,1
42100,Southwood,-27.7644,150.0694,1
42115,Lundavra Tm,-28.0697,149.9794,1
42118,Caithness - Westmar,-27.8117,149.6536,1
42119,Palmerston,-27.5353,149.4089,1
43000,Amby,-26.5478,148.185,1
43006,Mooga Hills Tm,-26.2544,148.9453,1
43008,Springdale Tm,-26.1683,148.6644,1
43015,Injune Post Office,-25.8428,148.5669,1
43020,Mitchell Post Office,-26.4888,147.9777,1
43026,Normandy,-26.7694,148.3558,1
43033,Tindarra Tm,-26.4689,148.8047,1
42116,Arden Downs Tm,-28.23,149.5617,1
43035,Surat,-27.1591,149.0702,1
44111,Wansey Downs,-25.8517,146.1894,1
42087,Goodar Station,-28.2444,150.1117,1
41537,Killarney Alert,-28.3394,152.2944,1
41540,Beardy Junction,-29.1694,151.3414,1
41545,Dunmore Exchange Tm,-27.6539,150.9136,1
41546,Avoca Tm,-27.9803,150.515,1
41547,Wallangarra Tm,-28.9236,151.9289,1
41548,Texas Tm,-28.8675,151.1611,1
41550,Grays Gate Exchange Tm,-27.9856,151.2828,1
41551,Belgrae Park Alert,-26.9669,151.4847,1
42004,Possum Park,-26.5047,150.0992,1
42097,Hartmann Bridge Tm,-28.3706,149.8811,1
42009,Drillham,-26.6403,149.9822,1
42022,Meandarra Post Office,-27.3236,149.8828,1
42023,Miles Post Office,-26.6581,150.1844,1
42025,Horse Creek Al,-26.5519,150.6322,1
42027,Talwood State School,-28.4872,149.4699,1
42036,Bawnduggie Al,-26.16,150.8392,1
42055,Riverview,-28.61,149.8242,1
531102,Cardstone Alert,-17.7642,145.5936,1
42059,Auburn,-25.9525,150.6142,1
42075,Bawnduggie,-26.1597,150.8389,1
42016,Hannaford Post Office,-27.341,150.0621,1
43037,Finsbury Park,-26.2093,149.0921,1
43038,Wallumbilla Post Office,-26.585,149.1865,1
43041,Qld Cotton,-28.1436,148.7089,1
44002,Augathella Post Office,-25.7956,146.5858,1
44010,Bollon Mary St,-28.0331,147.4795,1
44013,Boothulla,-26.3833,145.2167,1
44021,Charleville Aero,-26.4139,146.2558,1
44026,Cunnamulla Post Office,-28.0689,145.6822,1
44029,Dillalah,-26.8583,146.0278,1
44031,Dynevor Downs,-28.0911,144.3586,1
44038,Glenorie,-27.02,147.1536,1
44042,Hebel Store,-28.9723,147.796,1
44001,Angellala Downs Homestead,-26.0178,147.03,1
44044,Ivanhoe Downs,-26.3453,147.1258,1
44050,Morven Post Office,-26.4156,147.1131,1
44052,Mount Morris,-25.8128,145.5731,1
44054,Mulga Downs,-28.8056,147.1199,1
44056,Mungallala,-26.4458,147.5453,1
44057,Nive Downs,-25.4992,146.5442,1
44068,Tomoo,-27.0928,147.3661,1
44070,Victoria Downs,-26.375,147.0394,1
44075,Woodlands,-27.265,148.0814,1
44117,Dirranbandi,-28.5855,148.2284,1
44045,Kenilworth,-27.4133,147.4314,1
43112,Dalmally,-26.7997,148.5989,1
43109,St George Airport,-28.0478,148.5957,1
43108,Bendoba Tm,-25.96,148.3867,1
43043,Yuleba Garden St,-26.6133,149.3878,1
43045,Warrie Station,-28.0944,148.9731,1
43051,Pine Hills Tm,-26.2625,149.2389,1
43052,Warkon,-27.0006,149.4969,1
43053,St George (Hutt St),-28.0533,148.5633,1
43054,Injune Tm,-25.8428,148.5669,1
43056,Fairfield,-26.76,148.9919,1
43060,Havelock,-26.0756,147.9044,1
43075,Munnaweena,-25.8,147.95,1
45002,Bulloo Downs,-28.5267,142.9614,1
43077,Garrabarra,-26.9472,149.0136,1
43080,Karoola Park,-27.2275,148.7411,1
43090,Beardmore Dam,-27.9067,148.6514,1
