Date,Mean,Qual,Cutoff,Site
2022-01-01 00:00:00,45.426,2,2022-01-01,414203
2022-01-01 01:00:00,45.427,2,2022-01-01,414203
2022-01-01 02:00:00,45.424,2,2022-01-01,414203
2022-01-01 03:00:00,45.424,2,2022-01-01,414203
2022-01-01 04:00:00,45.421,2,2022-01-01,414203
2022-01-01 05:00:00,45.419,2,2022-01-01,414203
2022-01-01 06:00:00,45.418,2,2022-01-01,414203
2022-01-01 07:00:00,45.417,2,2022-01-01,414203
2022-01-01 08:00:00,45.414,2,2022-01-01,414203
2022-01-01 09:00:00,45.413,2,2022-01-01,414203
2022-01-01 10:00:00,45.415,2,2022-01-01,414203
2022-01-01 11:00:00,45.408,2,2022-01-01,414203
2022-01-01 12:00:00,45.404,2,2022-01-01,414203
2022-01-01 13:00:00,45.407,2,2022-01-01,414203
2022-01-01 14:00:00,45.401,2,2022-01-01,414203
2022-01-01 15:00:00,45.401,2,2022-01-01,414203
2022-01-01 16:00:00,45.396,2,2022-01-01,414203
2022-01-01 17:00:00,45.397,2,2022-01-01,414203
2022-01-01 18:00:00,45.394,2,2022-01-01,414203
2022-01-01 19:00:00,45.392,2,2022-01-01,414203
2022-01-01 20:00:00,45.387,2,2022-01-01,414203
2022-01-01 21:00:00,45.389,2,2022-01-01,414203
2022-01-01 22:00:00,45.387,2,2022-01-01,414203
2022-01-01 23:00:00,45.385,2,2022-01-01,414203
2022-02-01 00:00:00,45.386,2,2022-02-01,414203
2022-02-01 01:00:00,45.379,2,2022-02-01,414203
2022-02-01 02:00:00,45.378,2,2022-02-01,414203
2022-02-01 03:00:00,45.377,2,2022-02-01,414203
2022-02-01 04:00:00,45.378,2,2022-02-01,414203
2022-02-01 05:00:00,45.375,2,2022-02-01,414203
2022-02-01 06:00:00,45.374,2,2022-02-01,414203
2022-02-01 07:00:00,45.372,2,2022-02-01,414203
2022-02-01 08:00:00,45.364,2,2022-02-01,414203
2022-02-01 09:00:00,45.369,2,2022-02-01,414203
2022-02-01 10:00:00,45.368,2,2022-02-01,414203
2022-02-01 11:00:00,45.363,2,2022-02-01,414203
2022-02-01 12:00:00,45.363,2,2022-02-01,414203
2022-02-01 13:00:00,45.359,2,2022-02-01,414203
2022-02-01 14:00:00,45.358,2,2022-02-01,414203
2022-02-01 15:00:00,45.355,2,2022-02-01,414203
2022-02-01 16:00:00,45.356,2,2022-02-01,414203
2022-02-01 17:00:00,45.346,2,2022-02-01,414203
2022-02-01 18:00:00,45.351,2,2022-02-01,414203
2022-02-01 19:00:00,45.347,2,2022-02-01,414203
