Date,Mean,Qual,Cutoff,Site
2022-01-01 00:00:00,12.13,3,2022-01-01,407369
2022-01-01 01:00:00,12.127,3,2022-01-01,407369
2022-01-01 02:00:00,12.125,3,2022-01-01,407369
2022-01-01 03:00:00,12.122,3,2022-01-01,407369
2022-01-01 04:00:00,12.12,3,2022-01-01,407369
2022-01-01 05:00:00,12.118,3,2022-01-01,407369
2022-01-01 06:00:00,12.115,3,2022-01-01,407369
2022-01-01 07:00:00,12.113,3,2022-01-01,407369
2022-01-01 08:00:00,12.11,3,2022-01-01,407369
2022-01-01 09:00:00,12.108,3,2022-01-01,407369
2022-01-01 10:00:00,12.106,3,2022-01-01,407369
2022-01-01 11:00:00,12.103,3,2022-01-01,407369
2022-01-01 12:00:00,12.101,3,2022-01-01,407369
2022-01-01 13:00:00,12.098,3,2022-01-01,407369
2022-01-01 14:00:00,12.096,3,2022-01-01,407369
2022-01-01 15:00:00,12.094,3,2022-01-01,407369
2022-01-01 16:00:00,12.091,3,2022-01-01,407369
2022-01-01 17:00:00,12.089,3,2022-01-01,407369
2022-01-01 18:00:00,12.086,3,2022-01-01,407369
2022-01-01 19:00:00,12.084,3,2022-01-01,407369
2022-01-01 20:00:00,12.081,3,2022-01-01,407369
2022-01-01 21:00:00,12.079,3,2022-01-01,407369
2022-01-01 22:00:00,12.077,3,2022-01-01,407369
2022-01-01 23:00:00,12.074,3,2022-01-01,407369
2022-02-01 00:00:00,12.072,3,2022-02-01,407369
2022-02-01 01:00:00,12.069,3,2022-02-01,407369
2022-02-01 02:00:00,12.067,3,2022-02-01,407369
2022-02-01 03:00:00,12.065,3,2022-02-01,407369
2022-02-01 04:00:00,12.062,3,2022-02-01,407369
2022-02-01 05:00:00,12.06,3,2022-02-01,407369
2022-02-01 06:00:00,12.057,3,2022-02-01,407369
2022-02-01 07:00:00,12.055,3,2022-02-01,407369
2022-02-01 08:00:00,12.052,3,2022-02-01,407369
2022-02-01 09:00:00,12.05,3,2022-02-01,407369
2022-02-01 10:00:00,12.048,3,2022-02-01,407369
2022-02-01 11:00:00,12.045,3,2022-02-01,407369
2022-02-01 12:00:00,12.043,3,2022-02-01,407369
2022-02-01 13:00:00,12.04,3,2022-02-01,407369
2022-02-01 14:00:00,12.038,3,2022-02-01,407369
2022-02-01 15:00:00,12.036,3,2022-02-01,407369
2022-02-01 16:00:00,12.033,3,2022-02-01,407369
2022-02-01 17:00:00,12.031,3,2022-02-01,407369
2022-02-01 18:00:00,12.028,3,2022-02-01,407369
2022-02-01 19:00:00,12.026,3,2022-02-01,407369
2022-02-01 20:00:00,12.024,3,2022-02-01,407369
2022-02-01 21:00:00,12.021,3,2022-02-01,407369
2022-02-01 22:00:00,12.019,3,2022-02-01,407369
2022-02-01 23:00:00,12.016,3,2022-02-01,407369
2022-03-01 00:00:00,12.014,3,2022-03-01,407369
2022-03-01 01:00:00,12.011,3,2022-03-01,407369
2022-03-01 02:00:00,12.009,3,2022-03-01,407369
2022-03-01 03:00:00,12.007,3,2022-03-01,407369
