Date,Mean,Qual,Cutoff,Site
2022-04-01 23:00:00,0.645,2,2022-04-01,405325
2022-05-01 00:00:00,0.649,2,2022-05-01,405325
2022-05-01 01:00:00,0.651,2,2022-05-01,405325
2022-05-01 02:00:00,0.652,2,2022-05-01,405325
2022-05-01 03:00:00,0.655,2,2022-05-01,405325
2022-05-01 04:00:00,0.654,2,2022-05-01,405325
2022-05-01 05:00:00,0.653,2,2022-05-01,405325
2022-05-01 06:00:00,0.653,2,2022-05-01,405325
2022-05-01 07:00:00,0.653,2,2022-05-01,405325
2022-05-01 08:00:00,0.652,2,2022-05-01,405325
2022-05-01 09:00:00,0.651,2,2022-05-01,405325
2022-05-01 10:00:00,0.647,2,2022-05-01,405325
2022-05-01 11:00:00,0.645,2,2022-05-01,405325
2022-05-01 12:00:00,0.647,2,2022-05-01,405325
2022-05-01 13:00:00,0.645,2,2022-05-01,405325
2022-05-01 14:00:00,0.645,2,2022-05-01,405325
2022-05-01 15:00:00,0.645,2,2022-05-01,405325
2022-05-01 16:00:00,0.645,2,2022-05-01,405325
2022-05-01 17:00:00,0.645,2,2022-05-01,405325
2022-05-01 18:00:00,0.645,2,2022-05-01,405325
2022-05-01 19:00:00,0.645,2,2022-05-01,405325
2022-05-01 20:00:00,0.647,2,2022-05-01,405325
2022-05-01 21:00:00,0.651,2,2022-05-01,405325
2022-05-01 22:00:00,0.653,2,2022-05-01,405325
2022-05-01 23:00:00,0.655,2,2022-05-01,405325
2022-06-01 00:00:00,0.657,2,2022-06-01,405325
2022-06-01 01:00:00,0.659,2,2022-06-01,405325
2022-06-01 02:00:00,0.661,2,2022-06-01,405325
2022-06-01 03:00:00,0.662,2,2022-06-01,405325
2022-06-01 04:00:00,0.661,2,2022-06-01,405325
2022-06-01 05:00:00,0.66,2,2022-06-01,405325
2022-06-01 06:00:00,0.66,2,2022-06-01,405325
2022-06-01 07:00:00,0.657,2,2022-06-01,405325
2022-06-01 08:00:00,0.656,2,2022-06-01,405325
2022-06-01 09:00:00,0.657,2,2022-06-01,405325
2022-06-01 10:00:00,0.659,2,2022-06-01,405325
2022-06-01 11:00:00,0.66,2,2022-06-01,405325
2022-06-01 12:00:00,0.658,2,2022-06-01,405325
2022-06-01 13:00:00,0.658,2,2022-06-01,405325
2022-06-01 14:00:00,0.659,2,2022-06-01,405325
2022-06-01 15:00:00,0.659,2,2022-06-01,405325
2022-06-01 16:00:00,0.66,2,2022-06-01,405325
2022-06-01 17:00:00,0.66,2,2022-06-01,405325
2022-06-01 18:00:00,0.659,2,2022-06-01,405325
2022-06-01 19:00:00,0.659,2,2022-06-01,405325
2022-06-01 20:00:00,0.659,2,2022-06-01,405325
2022-06-01 21:00:00,0.663,2,2022-06-01,405325
2022-06-01 22:00:00,0.663,2,2022-06-01,405325
2022-06-01 23:00:00,0.665,2,2022-06-01,405325
2022-07-01 00:00:00,0.669,2,2022-07-01,405325
2022-07-01 01:00:00,0.671,2,2022-07-01,405325
2022-07-01 02:00:00,0.671,2,2022-07-01,405325
2022-07-01 03:00:00,0.669,2,2022-07-01,405325
2022-07-01 04:00:00,0.669,2,2022-07-01,405325
2022-07-01 05:00:00,0.668,2,2022-07-01,405325
2022-07-01 06:00:00,0.669,2,2022-07-01,405325
2022-07-01 07:00:00,0.669,2,2022-07-01,405325
2022-07-01 08:00:00,0.671,2,2022-07-01,405325
2022-07-01 09:00:00,0.673,2,2022-07-01,405325
2022-07-01 10:00:00,0.672,2,2022-07-01,405325
2022-07-01 11:00:00,0.671,2,2022-07-01,405325
2022-07-01 12:00:00,0.671,2,2022-07-01,405325
2022-07-01 13:00:00,0.671,2,2022-07-01,405325
2022-07-01 14:00:00,0.671,2,2022-07-01,405325
2022-07-01 15:00:00,0.672,2,2022-07-01,405325
2022-07-01 16:00:00,0.671,2,2022-07-01,405325
2022-07-01 17:00:00,0.677,2,2022-07-01,405325
2022-07-01 18:00:00,0.685,2,2022-07-01,405325
2022-07-01 19:00:00,0.693,2,2022-07-01,405325
2022-07-01 20:00:00,0.695,2,2022-07-01,405325
2022-07-01 21:00:00,0.696,2,2022-07-01,405325
2022-07-01 22:00:00,0.697,2,2022-07-01,405325
2022-07-01 23:00:00,0.697,2,2022-07-01,405325
2022-08-01 00:00:00,0.699,2,2022-08-01,405325
2022-08-01 01:00:00,0.697,2,2022-08-01,405325
2022-08-01 02:00:00,0.697,2,2022-08-01,405325
2022-08-01 03:00:00,0.696,2,2022-08-01,405325
2022-08-01 04:00:00,0.694,2,2022-08-01,405325
2022-08-01 05:00:00,0.691,2,2022-08-01,405325
2022-08-01 06:00:00,0.691,2,2022-08-01,405325
2022-08-01 07:00:00,0.692,2,2022-08-01,405325
2022-08-01 08:00:00,0.694,2,2022-08-01,405325
2022-08-01 09:00:00,0.697,2,2022-08-01,405325
2022-08-01 10:00:00,0.701,2,2022-08-01,405325
2022-08-01 11:00:00,0.707,2,2022-08-01,405325
2022-08-01 12:00:00,0.71,2,2022-08-01,405325
2022-08-01 13:00:00,0.713,2,2022-08-01,405325
2022-08-01 14:00:00,0.717,2,2022-08-01,405325
2022-08-01 15:00:00,0.722,2,2022-08-01,405325
2022-08-01 16:00:00,0.733,2,2022-08-01,405325
2022-08-01 17:00:00,0.747,2,2022-08-01,405325
2022-08-01 18:00:00,0.765,2,2022-08-01,405325
2022-08-01 19:00:00,0.785,2,2022-08-01,405325
2022-08-01 20:00:00,0.806,2,2022-08-01,405325
2022-08-01 21:00:00,0.825,2,2022-08-01,405325
2022-08-01 22:00:00,0.843,2,2022-08-01,405325
2022-08-01 23:00:00,0.857,2,2022-08-01,405325
2022-09-01 00:00:00,0.866,2,2022-09-01,405325
2022-09-01 01:00:00,0.872,2,2022-09-01,405325
2022-09-01 02:00:00,0.872,2,2022-09-01,405325
2022-09-01 03:00:00,0.869,2,2022-09-01,405325
2022-09-01 04:00:00,0.865,2,2022-09-01,405325
2022-09-01 05:00:00,0.86,2,2022-09-01,405325
2022-09-01 06:00:00,0.855,2,2022-09-01,405325
2022-09-01 07:00:00,0.851,2,2022-09-01,405325
2022-09-01 08:00:00,0.847,2,2022-09-01,405325
2022-09-01 09:00:00,0.844,2,2022-09-01,405325
2022-09-01 10:00:00,0.841,2,2022-09-01,405325
2022-09-01 11:00:00,0.838,2,2022-09-01,405325
2022-09-01 12:00:00,0.83,2,2022-09-01,405325
2022-09-01 13:00:00,0.823,2,2022-09-01,405325
2022-09-01 14:00:00,0.818,2,2022-09-01,405325
2022-09-01 15:00:00,0.811,2,2022-09-01,405325
2022-09-01 16:00:00,0.803,2,2022-09-01,405325
2022-09-01 17:00:00,0.796,2,2022-09-01,405325
2022-09-01 18:00:00,0.79,2,2022-09-01,405325
2022-09-01 19:00:00,0.786,2,2022-09-01,405325
2022-09-01 20:00:00,0.78,2,2022-09-01,405325
2022-09-01 21:00:00,0.776,2,2022-09-01,405325
2022-09-01 22:00:00,0.775,2,2022-09-01,405325
2022-09-01 23:00:00,0.775,2,2022-09-01,405325
2022-10-01 00:00:00,0.775,2,2022-10-01,405325
2022-10-01 01:00:00,0.775,2,2022-10-01,405325
2022-10-01 02:00:00,0.775,2,2022-10-01,405325
2022-10-01 03:00:00,0.774,2,2022-10-01,405325
2022-10-01 04:00:00,0.774,2,2022-10-01,405325
2022-10-01 05:00:00,0.772,2,2022-10-01,405325
2022-10-01 06:00:00,0.77,2,2022-10-01,405325
2022-10-01 07:00:00,0.767,2,2022-10-01,405325
2022-10-01 08:00:00,0.765,2,2022-10-01,405325
2022-10-01 09:00:00,0.764,2,2022-10-01,405325
2022-10-01 10:00:00,0.764,2,2022-10-01,405325
2022-10-01 11:00:00,0.762,2,2022-10-01,405325
2022-10-01 12:00:00,0.76,2,2022-10-01,405325
2022-10-01 13:00:00,0.755,2,2022-10-01,405325
2022-10-01 14:00:00,0.751,2,2022-10-01,405325
2022-10-01 15:00:00,0.747,2,2022-10-01,405325
2022-10-01 16:00:00,0.743,2,2022-10-01,405325
