Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Herbert,Herbert,Herbert,Herbert,Herbert,Herbert,Herbert,2022-10-13 15:21:38.985233+11:00,QLD
Wild R at Silver Valley *,1.00pm Thu,1.07,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Millstream at Ravenshoe *,1.00pm Thu,0.89,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Millstream at Archers Creek *,1.00pm Thu,1.35,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Blunder Ck at Wooroora *,1.00pm Thu,0.94,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Return Ck at Crooks Dam HW *,1.00pm Thu,691.02,steady,0.28 below Spillway,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Rudd Ck at Gunnawarra *,1.00pm Thu,2.38,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Rudd Ck at Gunnawarra #,11.44am Thu,2.37,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Cameron Creek *,1.00pm Thu,0.79,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Herbert R at Gleneagle #,12.13pm Thu,1.05,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Herbert R at Gleneagle *,1.00pm Thu,1.06,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Blencoe Ck at Blencoe Falls *,1.00pm Thu,1.37,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Herbert R at Nashs Crossing #,11.48am Thu,0.20,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Herbert R at Zattas #,1.54pm Thu,-0.32,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
Gowrie Ck at Gowrie Ck *,1.00pm Thu,0.87,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,QLD
