Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Herbert,Herbert,Herbert,Herbert,Herbert,Herbert,Herbert,2022-10-14 00:40:01.725702+11:00,QLD
Wild R at Silver Valley *,11.00pm Thu,1.06,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Millstream at Ravenshoe *,11.00pm Thu,0.89,steady,,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Millstream at Archers Creek *,11.00pm Thu,1.34,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Blunder Ck at Wooroora *,11.00pm Thu,0.94,steady,,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Return Ck at Crooks Dam HW *,10.00pm Thu,691.03,steady,0.27 below Spillway,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Rudd Ck at Gunnawarra *,11.00pm Thu,2.37,steady,,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Rudd Ck at Gunnawarra #,8.44pm Thu,2.37,steady,,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Cameron Creek *,11.00pm Thu,0.80,steady,,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Gleneagle #,9.13pm Thu,1.05,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Gleneagle *,11.00pm Thu,1.06,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Blencoe Ck at Blencoe Falls *,11.00pm Thu,1.36,steady,,,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Nashs Crossing #,8.56pm Thu,0.10,falling,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Zattas #,10.54pm Thu,-0.32,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Gowrie Ck at Gowrie Ck *,11.00pm Thu,0.86,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Abergowrie #,10.47pm Thu,1.27,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Abergowrie *,11.00pm Thu,1.27,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Herbert R at Abergowrie Br #,9.28pm Thu,0.71,steady,9.39 below Bridge,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
Stone R at Running Ck *,11.00pm Thu,1.20,steady,,below minor,Plot | Table,2022-10-14 00:40:01.725702+11:00,QLD
