Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),2022-10-17 09:28:27.703927+11:00,QLD
East Normanby R at Mulligan Hwy *,7.00am Mon,1.32,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Normanby R at Battle Camp *,7.00am Mon,2.20,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Laura R at Coalseam Ck *,7.00am Mon,1.38,steady,2.12 below Bridge,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Normanby R at Kalpowar Xing *,7.00am Mon,1.46,steady,0.44 below Causeway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Hann R at Sandy Creek *,7.00am Mon,0.10,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Stewart R at Telegraph Rd *,7.00am Mon,0.98,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Pascoe R at Fall Ck *,7.00am Mon,1.32,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Pascoe R at Garraway Creek *,7.00am Mon,1.71,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,2022-10-17 09:28:27.703927+11:00,QLD
Mornington Island Tide *,7.41am Mon,1.98,steady,1.89 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Gregory R at Riversleigh *,7.00am Mon,1.55,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Gregory R at Gregory Downs *,7.00am Mon,0.71,steady,8.59 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Burketown Tide *,7.38am Mon,2.74,steady,1.75 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Leichhardt,Leichhardt,Leichhardt,Leichhardt,Leichhardt,Leichhardt,Leichhardt,2022-10-17 09:28:27.703927+11:00,QLD
Leichhardt R at Doughboy Ck *,7.00am Mon,0.27,rising,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Leichhardt R at Julius Dam *,7.00am Mon,-1.41,steady,1.41 below Spillway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Leichhardt R at Miranda Creek *,7.00am Mon,0.93,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Gunpowder Ck at Gunpowder *,7.00am Mon,0.15,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Leichhardt R at Floraville *,7.00am Mon,0.52,steady,0.98 below Causeway,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders,Flinders,Flinders,Flinders,Flinders,Flinders,Flinders,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Whites Mountain *,6.00am Mon,0.00,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Glendower Crossing *,6.00am Mon,0.67,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Glenmoan Station *,6.00am Mon,-0.02,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Porcupine Ck at Mt Emu Plains *,7.00am Mon,1.38,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Marathon *,7.00am Mon,0.00,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Richmond *,7.00am Mon,0.65,steady,5.73 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Punchbowl *,7.00am Mon,0.94,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Etta Plains *,7.00am Mon,-0.01,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Julia Ck at Julia Ck *,7.00am Mon,0.09,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Williams R at Landsborough Hwy *,7.00am Mon,0.20,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Gilliat R at Wills Dev Rd *,7.00am Mon,2.04,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Cloncurry R at Cloncurry *,7.00am Mon,0.81,steady,9.69 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Corella R at Corella Dam HW *,12.00am Mon,293.84,steady,4.06 below Spillway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Dugald R at Rail Crossing *,7.00am Mon,0.02,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Cloncurry R at Canobie Auto *,7.00am Mon,0.10,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R-Cloncurry R Junction *,3.00am Mon,0.01,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Saxby R at Punchbowl Rd *,7.00am Mon,0.63,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Flinders R at Walkers Bend *,7.00am Mon,0.54,steady,4.86 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Norman,Norman,Norman,Norman,Norman,Norman,Norman,2022-10-17 09:28:27.703927+11:00,QLD
Spear Ck at Iffley *,6.00am Mon,0.00,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Norman R d/s Yappar R Junction *,6.00am Mon,0.00,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Norman R at Broadwater *,6.00am Mon,2.18,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Norman R at Glenore Weir *,7.00am Mon,6.66,steady,2.91 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Norman R at Normanton *,2.00am Mon,0.68,rising,2.15 below Approaches,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Walkers Ck at Miranda Downs *,6.00am Mon,0.00,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Walker Ck at Burke Devel Rd *,5.00am Mon,0.25,rising,6.15 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Karumba Tide *,7.34am Mon,1.98,steady,2.90 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Gilbert,Gilbert,Gilbert,Gilbert,Gilbert,Gilbert,Gilbert,2022-10-17 09:28:27.703927+11:00,QLD
Gilbert R at Rockfields *,7.00am Mon,2.61,steady,3.39 below Bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Copperfield R at Spanner Waterhole*,7.00am Mon,1.74,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Copperfield R at Kidston Dam HW *,7.00am Mon,584.55,steady,1.45 below Spillway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Copperfield R at Kidston Dam TW *,7.00am Mon,2.16,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Einasleigh R at Einasleigh *,7.00am Mon,1.34,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Elizabeth Ck at Mt Surprise *,1.00am Mon,1.44,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Etheridge R at Roseglen *,7.00am Mon,1.19,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Einasleigh R at Minnies Dip *,7.00am Mon,1.65,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Gilbert R at Burke Dev Rd *,7.00am Mon,0.98,steady,3.52 below Bridge,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),2022-10-17 09:28:27.703927+11:00,QLD
Staaten R at Dorunda *,7.00am Mon,0.42,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Bushy Ck at Mt Molloy Rd *,7.39am Mon,-1.80,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
McLeod R at Mulligan Highway *,7.00am Mon,0.78,steady,3.72 below Approaches,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Mitchell R at Cooktown Crossing *,7.00am Mon,0.75,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Mitchell R at OK Bridge *,7.00am Mon,2.25,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Walsh R at Nullinga *,7.00am Mon,0.89,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Walsh R at Flatrock *,7.00am Mon,1.72,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Walsh R at Rookwood *,7.00am Mon,1.65,steady,1.75 below Causeway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Walsh R at Trimbles Crossing *,7.00am Mon,0.69,steady,0.51 below Causeway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Mitchell R at Gamboola *,7.00am Mon,1.01,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Palmer R at Goldfields *,7.00am Mon,1.29,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Mitchell R at Dunbar *,7.00am Mon,1.96,steady,0.81 above Causeway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Archer R at Telegraph Crossing *,7.00am Mon,2.77,steady,0.93 below Causeway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Coen R at Coen Racecourse *,7.00am Mon,1.41,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Humbug Point (Weipa) Tide *,7.39am Mon,1.46,steady,1.92 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Wenlock R at Moreton *,7.00am Mon,2.29,steady,4.31 below Bridge,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Dulhunty River *,7.00am Mon,0.82,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Jardine R at Monument *,7.00am Mon,1.62,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Torres Strait,Torres Strait,Torres Strait,Torres Strait,Torres Strait,Torres Strait,Torres Strait,2022-10-17 09:28:27.703927+11:00,QLD
Ugar Island Tide *,7.36am Mon,1.87,steady,2.24 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Boigu Island Tide *,7.34am Mon,0.64,steady,4.13 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Iama Island Tide *,7.40am Mon,1.48,steady,2.68 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Thursday Island Tide *,7.37am Mon,1.51,steady,2.35 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
Moa Island (Kubin) Tide *,7.30am Mon,1.63,steady,2.14 below HAT,,Plot | Table,2022-10-17 09:28:27.703927+11:00,QLD
