Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Cherwell/Burrum,Cherwell/Burrum,Cherwell/Burrum,Cherwell/Burrum,Cherwell/Burrum,Cherwell/Burrum,Cherwell/Burrum,2022-10-14 10:30:02.054140+11:00,QLD
Burrum R at Lenthalls Dam #,9.07am Fri,25.74,steady,0.26 below Full Supply,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burrum R at Lenthalls Dam *,8.00am Fri,25.75,steady,0.25 below Full Supply,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Torbanlea #,7.32am Fri,-0.70,steady,0.70 below Road,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burrum R at Howard #,6.43am Fri,4.81,steady,0.06 below Weir,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burrum R at Walls Camp #,9.02am Fri,-0.81,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Cherwell R at Railway Br #,6.18am Fri,1.62,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Cherwell R at Pacific Haven #,8.12am Fri,0.03,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Isis R at Bruce Hwy *,8.00am Fri,0.61,steady,13.84 below Bridge,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Gregory R at Childers Rd *,8.00am Fri,1.37,steady,11.63 below Bridge,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Gregory R at Leesons *,8.00am Fri,1.68,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Elliott R at Dr Mays Crossing *,4.00am Fri,0.84,steady,0.76 below Causeway,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Urangan Boat Harbour Tide *,8.42am Fri,2.55,steady,1.73 below HAT,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett,Burnett,Burnett,Burnett,Burnett,Burnett,Burnett,2022-10-14 10:30:02.054140+11:00,QLD
Three Moon Ck at Cania Dam HW #,6.11am Fri,-10.16,steady,10.16 below Spillway,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Three Moon Ck at Cania Dam HW *,8.00am Fri,-10.17,steady,10.17 below Spillway,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Three Moon Ck at Cania Dam TW *,8.00am Fri,0.00,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Monal Ck at Upper Monal *,8.00am Fri,0.36,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Monal Ck at Upper Monal #,7.22am Fri,0.34,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Three Moon Ck at Monto *,8.00am Fri,0.17,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Three Moon Ck at Abercorn *,8.00am Fri,1.45,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Splinter Ck at Dakiel *,8.00am Fri,0.98,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Splinter Ck at Stewarts Br #,9.02am Fri,0.25,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at Yarrol *,8.00am Fri,1.27,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at Yarrol #,8.36am Fri,1.30,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Eastern Ck at Lands End *,8.00am Fri,1.79,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at John Goleby Weir *,8.00am Fri,0.01,steady,0.01 above Weir,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at Ceratodus *,8.00am Fri,1.88,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Nogo R at Wuruma Dam HW *,8.00am Fri,-2.00,steady,2.00 below Spillway,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Nogo R at Wuruma Dam HW #,7.42am Fri,-1.88,steady,1.88 below Spillway,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Nogo R at Wuruma Dam TW *,8.00am Fri,0.29,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at Eidsvold #,6.31am Fri,0.86,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at Eidsvold *,8.00am Fri,0.82,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Burnett R at Marriages *,8.00am Fri,0.89,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
St John Creek at Coonambula #,8.04am Fri,0.30,rising,0.40 below Crossing,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Auburn R at Dykehead #,8.07am Fri,1.10,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Auburn R at Dykehead *,8.00am Fri,1.10,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Cadarga Ck at Brovinia #,6.35am Fri,0.80,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Cadarga Ck at Brovinia *,8.00am Fri,0.80,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Auburn R at Flagstone Br #,8.51am Fri,0.44,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Boyne R at Carters *,8.00am Fri,0.49,steady,,below minor,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
Stuart R at Weens Br *,8.00am Fri,1.48,steady,,,Plot | Table,2022-10-14 10:30:02.054140+11:00,QLD
