Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Mooloolah,Mooloolah,Mooloolah,Mooloolah,Mooloolah,Mooloolah,Mooloolah,2022-10-13 19:50:02.485447+11:00,QLD
Mooloolah R at Mooloolah #,5.26pm Thu,0.42,steady,,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mooloolah R at Mooloolah *,6.00pm Thu,0.43,steady,,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Ewen Maddock Dam #,6.35pm Thu,25.24,steady,0.14 below Spillway,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Ewen Maddock Dam *,4.00pm Thu,25.24^,steady,0.14 below Spillway,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mooloolah R at Jordan St #,4.51pm Thu,0.20,steady,,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mooloolah R at Palmview #,6.04pm Thu,0.14,falling,,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mountain Ck at Tanawha #,4.40pm Thu,0.15,steady,0.95 below Approaches,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mountain Ck at Dixon Rd #,6.21pm Thu,1.16,steady,3.59 below Road,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mooloolaba Tide #,6.38pm Thu,0.77,falling,1.40 below HAT,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Mooloolaba Tide *,6.06pm Thu,0.69,steady,1.48 below HAT,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Lamerough Ck at Koala Court #,5.56pm Thu,4.67,steady,,,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Golden Beach #,6.34pm Thu,0.30,rising,1.14 below HAT,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
Golden Beach Tide *,6.09pm Thu,0.26,steady,1.18 below HAT,below minor,Plot | Table,2022-10-13 19:50:02.485447+11:00,QLD
