"Time","405753",
"and",100.00,
"Date","Mean","Qual"
00:00:00 16/05/1995,       0.478,     82
00:00:00 17/05/1995,       0.455,      1
00:00:00 18/05/1995,       0.367,      1
00:00:00 19/05/1995,       0.263,      1
00:00:00 20/05/1995,       0.187,      1
00:00:00 21/05/1995,       0.142,      1
00:00:00 22/05/1995,       0.098,      1
00:00:00 23/05/1995,       0.082,      1
00:00:00 24/05/1995,       0.078,      1
00:00:00 25/05/1995,       0.084,      1
00:00:00 26/05/1995,       0.108,      1
00:00:00 27/05/1995,       0.139,      1
00:00:00 28/05/1995,       0.105,      1
00:00:00 29/05/1995,       0.069,      1
00:00:00 30/05/1995,       0.047,      1
00:00:00 31/05/1995,       0.037,      1
00:00:00 01/06/1995,       0.062,      1
00:00:00 02/06/1995,       0.056,      1
00:00:00 03/06/1995,       0.049,      1
00:00:00 04/06/1995,       0.082,      1
00:00:00 05/06/1995,       0.055,      1
00:00:00 06/06/1995,       0.101,      1
00:00:00 07/06/1995,       0.179,      1
00:00:00 08/06/1995,       0.401,      1
00:00:00 09/06/1995,       0.755,      1
00:00:00 10/06/1995,       0.899,      1
00:00:00 11/06/1995,       0.851,      1
00:00:00 12/06/1995,       0.740,      1
00:00:00 13/06/1995,       0.636,      1
00:00:00 14/06/1995,       0.566,      1
00:00:00 15/06/1995,       0.481,      1
00:00:00 16/06/1995,       0.355,      1
00:00:00 17/06/1995,       0.243,      1
00:00:00 18/06/1995,       0.153,      1
00:00:00 19/06/1995,       0.106,      1
00:00:00 20/06/1995,       0.068,      1
00:00:00 21/06/1995,       0.050,     82
00:00:00 22/06/1995,       0.043,      1
00:00:00 23/06/1995,       0.041,      1
00:00:00 24/06/1995,       0.058,      1
00:00:00 25/06/1995,       0.093,      1
00:00:00 26/06/1995,       0.096,      1
00:00:00 27/06/1995,       0.099,      1
00:00:00 28/06/1995,       0.095,      1
00:00:00 29/06/1995,       0.093,      1
00:00:00 30/06/1995,       0.106,      1
00:00:00 01/07/1995,       0.188,      1
00:00:00 02/07/1995,       0.173,      1
00:00:00 03/07/1995,       0.140,      1
00:00:00 04/07/1995,       0.098,      1
00:00:00 05/07/1995,       0.080,      1
00:00:00 06/07/1995,       0.070,      1
00:00:00 07/07/1995,       0.065,      1
00:00:00 08/07/1995,       0.064,      1
00:00:00 09/07/1995,       0.064,      1
00:00:00 10/07/1995,       0.068,      1
00:00:00 11/07/1995,       0.102,      1
00:00:00 12/07/1995,       0.577,      1
00:00:00 13/07/1995,       0.707,      1
00:00:00 14/07/1995,       0.782,      1
00:00:00 15/07/1995,       0.751,      1
00:00:00 16/07/1995,       0.631,      1
00:00:00 17/07/1995,       0.710,      1
00:00:00 18/07/1995,       0.845,      1
00:00:00 19/07/1995,       0.786,      1
00:00:00 20/07/1995,       0.680,      1
00:00:00 21/07/1995,       0.578,      1
00:00:00 22/07/1995,       0.501,      1
00:00:00 23/07/1995,       0.565,      1
00:00:00 24/07/1995,       0.572,      1
00:00:00 25/07/1995,       0.471,      1
00:00:00 26/07/1995,       0.375,      1
00:00:00 27/07/1995,       0.305,      1
00:00:00 28/07/1995,       0.280,      1
00:00:00 29/07/1995,       0.483,      1
00:00:00 30/07/1995,       0.510,      1
00:00:00 31/07/1995,       0.442,      1
00:00:00 01/08/1995,       0.416,      1
00:00:00 02/08/1995,       0.378,     82
00:00:00 03/08/1995,       0.454,      1
00:00:00 04/08/1995,       0.460,      1
00:00:00 05/08/1995,       0.404,      1
00:00:00 06/08/1995,       0.338,      1
00:00:00 07/08/1995,       0.279,      1
00:00:00 08/08/1995,       0.210,      1
00:00:00 09/08/1995,       0.162,      1
00:00:00 10/08/1995,       0.155,      1
00:00:00 11/08/1995,       0.130,      1
00:00:00 12/08/1995,       0.117,      1
00:00:00 13/08/1995,       0.111,      1
00:00:00 14/08/1995,       0.107,      1
00:00:00 15/08/1995,       0.087,      1
00:00:00 16/08/1995,       0.068,      1
00:00:00 17/08/1995,       0.070,      1
00:00:00 18/08/1995,       0.071,      1
00:00:00 19/08/1995,       0.064,      1
00:00:00 20/08/1995,       0.059,      1
00:00:00 21/08/1995,       0.053,      1
00:00:00 22/08/1995,       0.055,      1
00:00:00 23/08/1995,       0.080,      1
00:00:00 24/08/1995,       0.094,      1
00:00:00 25/08/1995,       0.107,      1
00:00:00 26/08/1995,       0.111,      1
00:00:00 27/08/1995,       0.107,      1
00:00:00 28/08/1995,       0.106,      1
00:00:00 29/08/1995,       0.110,      1
00:00:00 30/08/1995,       0.126,      1
00:00:00 31/08/1995,       0.148,      1
00:00:00 01/09/1995,       0.157,      1
00:00:00 02/09/1995,       0.149,      1
00:00:00 03/09/1995,       0.146,      1
00:00:00 04/09/1995,       0.154,      1
00:00:00 05/09/1995,       0.144,      1
00:00:00 06/09/1995,       0.142,      1
00:00:00 07/09/1995,       0.145,      1
00:00:00 08/09/1995,       0.164,      1
00:00:00 09/09/1995,       0.178,      1
00:00:00 10/09/1995,       0.175,      1
00:00:00 11/09/1995,       0.165,      1
00:00:00 12/09/1995,       0.171,      1
00:00:00 13/09/1995,       0.163,      1
00:00:00 14/09/1995,       0.154,     82
00:00:00 15/09/1995,       0.174,      1
00:00:00 16/09/1995,       0.168,      1
00:00:00 17/09/1995,       0.161,      1
00:00:00 18/09/1995,       0.183,      1
00:00:00 19/09/1995,       0.179,      1
00:00:00 20/09/1995,       0.195,      1
00:00:00 21/09/1995,       0.218,      1
00:00:00 22/09/1995,       0.227,      1
00:00:00 23/09/1995,       0.252,      1
00:00:00 24/09/1995,       0.269,      1
00:00:00 25/09/1995,       0.305,      1
