Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Condamine-Culgoa Rivers,Condamine-Culgoa Rivers,Condamine-Culgoa Rivers,Condamine-Culgoa Rivers,Condamine-Culgoa Rivers,Condamine-Culgoa Rivers,2022-10-13 23:50:02.041699+11:00,NSW
Maranoa R at Old Cashmere,10.00pm Thu,2.29,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Balonne R at Surat,10.00pm Thu,3.70,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Balonne R at St George,10.00pm Thu,2.30,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Balonne R at Jack Taylor Weir,10.10pm Thu,-0.00,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Culgoa R at Whyenbah,8.00pm Thu,2.78,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Culgoa R at Woolerbilla,10.00pm Thu,4.01,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Narran R at Dirranbandi,10.00pm Thu,2.76,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Narran R at New Angledool No 2 **,11.00pm Thu,2.27,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Ballandool R at Ballandool,10.00pm Thu,2.35,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Bokhara R at Hebel,10.00pm Thu,0.98,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Bokhara R at Goodooga,11.15pm Thu,2.31,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Bokhara R at Goodwins,11.00pm Thu,2.49,steady,minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Birrie R at Goodooga,11.00pm Thu,2.05,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Culgoa R at Brenda,11.30pm Thu,3.96,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Culgoa R at Weilmoringle,11.00pm Thu,5.73,steady,minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Culgoa R at Mundiwa,11.00pm Thu,5.42,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Culgoa R at Kenebree,11.45pm Thu,5.82,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Warrego River,Warrego River,Warrego River,Warrego River,Warrego River,Warrego River,2022-10-13 23:50:02.041699+11:00,NSW
Warrego R at Wyandra,10.00pm Thu,3.09,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Warrego R at Cunnamulla,10.00pm Thu,5.93,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Warrego R at Barringun No 2**,11.00pm Thu,2.72,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Warrego R at Fords Br,11.30pm Thu,1.44,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Warrego R at Fords Br Bywash,4.15pm Thu,2.40,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Cuttaburra Channel at Turra,11.00pm Thu,2.02,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Paroo River,Paroo River,Paroo River,Paroo River,Paroo River,Paroo River,2022-10-13 23:50:02.041699+11:00,NSW
Paroo R at Eulo,5.20pm Thu,3.67,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Paroo R at Caiwarro,10.00pm Thu,3.01,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Paroo R at Hungerford,3.00pm Thu,1.35,rising slowly,minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Paroo R at Willara Crossing,8.15pm Thu,1.39,steady,minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Bullo River,Bullo River,Bullo River,Bullo River,Bullo River,Bullo River,2022-10-13 23:50:02.041699+11:00,NSW
Bulloo River at Thargomindah,1.35pm Thu,4.98,rising,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon River,Barwon River,Barwon River,Barwon River,Barwon River,Barwon River,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Mungindi,11.00pm Thu,6.71,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Presbury Weir,11.00pm Thu,4.99,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Mogil Mogil,11.00pm Thu,7.26,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Collarenebri,11.00pm Thu,5.37,steady,below minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Tara (U/S Namoi Jct),11.00pm Thu,9.74,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Walgett,11.00pm Thu,11.47,steady,minor,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Boorooma,11.00pm Thu,13.16,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Geera (D/S Macquarie R),11.00pm Thu,13.08,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Barwon R at Brewarrina,11.00pm Thu,8.10,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Darling River,Darling River,Darling River,Darling River,Darling River,Darling River,2022-10-13 23:50:02.041699+11:00,NSW
Darling R at Warraweena,11.00pm Thu,14.16,steady,,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Darling R at Bourke,11.00pm Thu,11.74,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Darling R at Louth,10.00pm Thu,11.13,steady,moderate,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
Darling R at Tilpa,11.00pm Thu,11.64,steady,major,Plot | Table,2022-10-13 23:50:02.041699+11:00,NSW
