Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Ottleys Ck at Coolatai,11.00am Fri,0.52,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at New Kildonan *,10.33am Fri,3.45,falling,,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Boggabilla,10.00am Fri,4.38,falling,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Goondiwindi *,10.00am Fri,4.75,steady,7.45 below Bridge,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Goondiwindi Weir *,10.00am Fri,4.55,steady,3.05 above Weir,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Callandoon Ck at Carana Weir *,10.10am Fri,4.20,steady,2.20 above Weir,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Callandoon Ck at Oonavale*,10.01am Fri,6.37,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Boomi R at Boomi Offtake,10.00am Fri,2.35,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Boomi Weir,10.00am Fri,2.40,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Kanowna,10.00am Fri,5.34,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Barwon R at Mungindi,10.00am Fri,6.68,steady,,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir,Weir,Weir,Weir,Weir,Weir,Weir,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at O'Connor *,9.00am Fri,1.40,falling,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Retreat Br *,9.00am Fri,1.50,steady,11.00 below Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Gunn Br *,10.00am Fri,0.80,steady,6.18 below Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Wyaga Ck at Kilbronae *,9.00am Fri,0.50,falling,2.10 below Crossing,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Yarrill Ck at Medpark Br *,9.00am Fri,1.11,falling,3.49 below Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Giddi Giddi South *,9.00am Fri,2.40,steady,1.00 above Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Surrey *,9.00am Fri,1.85,rising,2.95 below Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Talwood *,10.00am Fri,1.51,steady,2.89 below Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Jericho *,10.00am Fri,2.67,steady,1.67 above Crossing,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Weir R at Mascot *,10.00am Fri,2.18,steady,,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Moonie,Moonie,Moonie,Moonie,Moonie,Moonie,Moonie,2022-10-14 12:20:01.588750+11:00,NSW
Moonie R at Flinton*(Downstream),10.00am Fri,2.31,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Moonie R at Mt Driven *,2.35am Fri,0.87,falling,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Moonie R at Nindigully Br,9.00am Fri,2.10,rising slowly,1.40 below Approaches,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Moonie R at Nindigully *,10.00am Fri,2.20,steady,,minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Moonie R at Fenton *,10.00am Fri,2.39,steady,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
