Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Bega River,Bega River,Bega River,Bega River,Bega River,Bega River,2022-10-13 14:24:34.630307+11:00,NSW
Wallaga Lake at Regatta Pt,1.45pm Thu,0.32,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Bermagui R at Boat Harbour,1.46pm Thu,0.83,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Brogo Dam,2.00pm Thu,102.83,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Brogo R at North Brogo,2.00pm Thu,1.62,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Double Ck near Brogo,2.00pm Thu,1.05,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Brogo R at Angledale,2.00pm Thu,1.38,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Bemboka R at Morans Crossing,2.00pm Thu,1.09,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Tantawangalo Ck at Candelo Damsite,2.00pm Thu,0.76,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Bega R at Kanoona,2.00pm Thu,1.83,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Bega River Entrance,1.45pm Thu,0.42,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Bega R at Bega North,2.00pm Thu,1.04,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Towamba River,Towamba River,Towamba River,Towamba River,Towamba River,Towamba River,2022-10-13 14:24:34.630307+11:00,NSW
Merimbula Lake at Wharf,1.45pm Thu,0.19,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Pambula R at Lochiel,2.00pm Thu,0.87,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Towamba R at Towamba,2.00pm Thu,0.99,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Eden Boat Harbour,1.46pm Thu,1.00,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Snowy River,Snowy River,Snowy River,Snowy River,Snowy River,Snowy River,2022-10-13 14:24:34.630307+11:00,NSW
Little Plains R at Wellesley,2.00pm Thu,0.80,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Delegate R at Quidong,2.00pm Thu,0.77,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Mclaughlin R at The Hut,5.00am Thu,0.55,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Snowy R at Burnt Hut Crossing,1.15pm Thu,2.20,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Snowy R at Dalgety Weir,11.45am Thu,1.59,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Bombala R at Bombala,2.00pm Thu,1.27,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Snowy R at Mckillops Br,6.20pm Wed,2.57,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
