Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Queanbeyan River,Queanbeyan River,Queanbeyan River,Queanbeyan River,Queanbeyan River,Queanbeyan River,2022-10-14 06:50:01.628932+11:00,NSW
Queanbeyan R at Tinderry,6.03am Fri,1.60,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Queanbeyan R U/S Googong Dam,7.00pm Thu,1.06,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Burra Ck at Burra,10.00pm Thu,1.56,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Queanbeyan R at Googong Dam,5.53am Fri,663.12^,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Queanbeyan R at Wickerslack,6.41am Fri,1.06,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Queanbeyan R at ACT Border,9.18pm Thu,1.89,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo River,Molonglo River,Molonglo River,Molonglo River,Molonglo River,Molonglo River,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R at Carwoola,4.45am Fri,0.94,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R at Burbong,7.00pm Thu,0.69,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R at Oaks Estate,10.00pm Thu,1.51,steady,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Woolshed Creek U/S Fairbairne,6.23am Fri,0.54,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R at Dairy Flat,5.46am Fri,555.98^,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Jerrabomberra Ck at Hindmarsh,6.30am Fri,2.42,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Sullivan Ck at Southwell,7.00pm Thu,0.22,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Sullivan Ck at Barry Drive,7.00pm Thu,0.95,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Lake Burley Griffin at Dam,1.41am Fri,555.91^,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R at Coppins Crossing,10.54pm Thu,1.61,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R below Yarralumla Creek,6.12am Fri,2.28,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Molonglo R at Sturt Island,6.00am Thu,1.60,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Cooma Creek,Cooma Creek,Cooma Creek,Cooma Creek,Cooma Creek,Cooma Creek,2022-10-14 06:50:01.628932+11:00,NSW
Cooma Ck at Koolaroo,6.00am Fri,0.92,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Cooma Back Ck at SMEC,6.01am Fri,0.26,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee River to Burrinjuck,Murrumbidgee River to Burrinjuck,Murrumbidgee River to Burrinjuck,Murrumbidgee River to Burrinjuck,Murrumbidgee River to Burrinjuck,Murrumbidgee River to Burrinjuck,2022-10-14 06:50:01.628932+11:00,NSW
Numeralla R at Numeralla,6.00am Fri,0.84,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Alum Ck at Jones Plain Road,6.00am Fri,0.73,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Mittagang Cross.,6.00am Fri,1.22,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Billilingra,6.30am Fri,1.84,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Bredbo R at Bredbo Station,6.00am Fri,0.92,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Micaligo Ck at Michelago,6.00am Fri,0.64,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Gudgenby R at Tennent,1.00pm Thu,1.94,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Lobbs Hole,9.00pm Thu,3.45,rising,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tuggeranong Ck at Weir,6.00am Thu,0.12^,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tuggeranong Ck u/s of Sewer,7.00pm Thu,0.43,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Cotter R at Cotter Dam,10.00pm Thu,551.12^,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Cotter R at Cotter Kiosk,8.40pm Thu,1.04,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Mt Macdonald,8.45pm Thu,2.40,falling,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Ginninderra Ck U/S Barton Hwy,9.00pm Thu,0.63,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Ginninderra Ck U/S Charn. Rd,7.00pm Thu,0.55,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Halls,10.00pm Thu,3.42,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yass R U/S Macks Reef Rd,6.00am Fri,0.89,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yass R at Gundaroo,6.00am Fri,0.51,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yass R at Yass,6.00am Fri,0.73,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yass R u/s Burrinjuck Dam,6.00am Fri,1.55,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Goodradigbee R at Wee Jasper,6.00am Fri,1.65,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R D/S Burrinjuck Dam,6.35am Fri,3.95,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tumut River,Tumut River,Tumut River,Tumut River,Tumut River,Tumut River,2022-10-14 06:50:01.628932+11:00,NSW
Blowering Dam,10.00am Thu,379.02,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tumut R at Oddys Bridge,6.30am Fri,1.74,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Goobarragandra R at Lacmalac,6.30am Fri,2.11,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tumut R at Tumut,6.30am Fri,1.21,steady,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tumut R at Brungle Bridge,6.30am Fri,2.00,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee River to Gundagai,Murrumbidgee River to Gundagai,Murrumbidgee River to Gundagai,Murrumbidgee River to Gundagai,Murrumbidgee River to Gundagai,Murrumbidgee River to Gundagai,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Glendale,6.15am Fri,2.61,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Gobarralong,6.30am Fri,5.83,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Adjungbilly R at Darbalara,6.00am Fri,1.17,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Jindalee Ck at Jindalee,6.00am Fri,0.67,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Jugiong Ck at Jugiong Creek,6.15am Fri,1.56,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Muttama Ck at Berthong Rd,6.00am Fri,0.75,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Muttama Ck at Coolac,6.30am Fri,1.54,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Gundagai,6.30am Fri,7.01,steady,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee River to Wagga Wagga,Murrumbidgee River to Wagga Wagga,Murrumbidgee River to Wagga Wagga,Murrumbidgee River to Wagga Wagga,Murrumbidgee River to Wagga Wagga,Murrumbidgee River to Wagga Wagga,2022-10-14 06:50:01.628932+11:00,NSW
Adelong Ck at Batlow Road,6.30am Fri,1.00,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Hillas Ck at Mt Adrah,6.30am Fri,1.30,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Eringoarrah,6.30am Fri,8.13,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tarcutta Ck at Westbrook,6.00am Fri,1.25,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tarcutta Ck at Belmore Bridge,6.30am Fri,1.92,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Tarcutta Ck at Old Borambola,6.00am Fri,1.62,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Kyeamba Ck at Book Book,6.00am Fri,1.13,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Kyeamba Ck at Ladysmith,6.00am Fri,2.60,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Wagga Wagga,6.30am Fri,9.00,steady,moderate,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Mirrool Creek,Mirrool Creek,Mirrool Creek,Mirrool Creek,Mirrool Creek,Mirrool Creek,2022-10-14 06:50:01.628932+11:00,NSW
Mirrool Ck at Barellan Rd,6.00am Fri,1.37,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Mirrool Ck at East Mirrool Reg,4.00am Fri,0.98,steady,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Lower Murrumbidgee River,Lower Murrumbidgee River,Lower Murrumbidgee River,Lower Murrumbidgee River,Lower Murrumbidgee River,Lower Murrumbidgee River,2022-10-14 06:50:01.628932+11:00,NSW
Beavers Ck at Mundowey,6.00am Fri,6.83,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Berembed Weir,6.30am Fri,6.94,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Narrandera,6.00am Fri,7.22,steady,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Gogeldrie Weir,5.47am Fri,6.66,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Darlington Point,6.00am Fri,6.20,steady,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Carrathool,8.00am Thu,6.46,rising,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Hay Town,10.00am Thu,6.46,rising,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R D/S Hay Weir,5.47am Fri,7.99,steady,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Maude Weir,5.47am Fri,6.93,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R D/S Maude Weir,6.00am Fri,6.81,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R at Redbank Weir,5.47am Fri,5.99,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R D/S Redbank Weir,5.47am Fri,5.99,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R D/S Balranald Weir,6.00am Fri,6.71,steady,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yanco Ck at Yanco Offtake,4.00am Fri,4.91,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Murrumbidgee R D/S Yanco Weir,6.00am Fri,6.59,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yanco Ck at Yanco Br,6.00am Fri,2.38,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Yanco Ck at Morundah,6.00am Fri,2.93,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
Colombo Ck at Morundah,6.00am Fri,2.29,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,NSW
