Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Walkers Ck at Miranda Downs *,12.00pm Thu,0.00,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Walker Ck at Burke Devel Rd *,12.00pm Thu,0.00,steady,6.40 below Bridge,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Karumba Tide *,12.34pm Thu,1.85,steady,3.03 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Gilbert,Gilbert,Gilbert,Gilbert,Gilbert,Gilbert,Gilbert,2022-10-13 14:24:34.630307+11:00,QLD
Gilbert R at Rockfields *,12.00pm Thu,2.63,steady,3.37 below Bridge,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Copperfield R at Spanner Waterhole*,12.00pm Thu,1.80,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Copperfield R at Kidston Dam HW *,11.00am Thu,584.79,steady,1.21 below Spillway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Copperfield R at Kidston Dam TW *,12.00pm Thu,2.10,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Einasleigh R at Einasleigh *,12.00pm Thu,1.18,falling,,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Elizabeth Ck at Mt Surprise *,9.00am Thu,1.45,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Etheridge R at Roseglen *,12.00pm Thu,1.19,steady,,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Einasleigh R at Minnies Dip *,12.00pm Thu,1.62,rising,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Gilbert R at Burke Dev Rd *,12.00pm Thu,1.00,steady,3.50 below Bridge,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),Cape Rivers (West),2022-10-13 14:24:34.630307+11:00,QLD
Staaten R at Dorunda *,12.00pm Thu,0.45,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Bushy Ck at Mt Molloy Rd *,12.33pm Thu,-1.80,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
McLeod R at Mulligan Highway *,12.00pm Thu,0.96,falling,3.54 below Approaches,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Mitchell R at Cooktown Crossing *,11.00am Thu,0.76,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Mitchell R at OK Bridge *,12.00pm Thu,2.28,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Walsh R at Nullinga *,12.00pm Thu,0.88,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Walsh R at Flatrock *,12.00pm Thu,1.73,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Walsh R at Rookwood *,12.00pm Thu,1.69,steady,1.71 below Causeway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Walsh R at Trimbles Crossing *,12.00pm Thu,0.72,steady,0.48 below Causeway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Mitchell R at Gamboola *,12.00pm Thu,1.07,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Palmer R at Goldfields *,12.00pm Thu,1.33,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Mitchell R at Dunbar *,12.00pm Thu,1.96,steady,0.81 above Causeway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Archer R at Telegraph Crossing *,12.00pm Thu,2.76,steady,0.94 below Causeway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Coen R at Coen Racecourse *,12.00pm Thu,1.45,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Humbug Point (Weipa) Tide *,12.39pm Thu,1.77,steady,1.61 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Wenlock R at Moreton *,12.00pm Thu,2.31,steady,4.29 below Bridge,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Dulhunty River *,12.00pm Thu,0.82,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Jardine R at Monument *,12.00pm Thu,1.64,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Torres Strait,Torres Strait,Torres Strait,Torres Strait,Torres Strait,Torres Strait,Torres Strait,2022-10-13 14:24:34.630307+11:00,QLD
Ugar Island Tide *,12.37pm Thu,2.83,steady,1.28 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Boigu Island Tide *,12.34pm Thu,2.86,steady,1.91 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Iama Island Tide *,12.42pm Thu,3.02,steady,1.14 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Thursday Island Tide *,12.38pm Thu,2.33,steady,1.53 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Moa Island (Kubin) Tide *,12.39pm Thu,2.55,steady,1.22 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
