Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Minilya,Minilya,Minilya,Minilya,Minilya,Minilya,2022-10-14 08:10:02.330014+11:00,WA
Minilya River at Minilya Bridge,3.55am Fri,-0.07,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Gascoyne,Gascoyne,Gascoyne,Gascoyne,Gascoyne,Gascoyne,2022-10-14 08:10:02.330014+11:00,WA
Gascoyne River at Yinnetharra Xing,4.00am Fri,0.64,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Gascoyne River at Pells Island,4.00am Fri,0.28,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Lyons River at Lyons River Xing,3.10am Fri,-0.01,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Gascoyne River at Jimba,4.00am Fri,0.35,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Gascoyne River at Fishy Pool,4.00am Fri,-0.07,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Gascoyne River at Nine Mile Br,4.00am Fri,-1.00,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
Murchison,Murchison,Murchison,Murchison,Murchison,Murchison,2022-10-14 08:10:02.330014+11:00,WA
Murchison River at Emu Springs,4.00am Fri,0.07,steady,below minor,Plot | Table,2022-10-14 08:10:02.330014+11:00,WA
