Date,Site,Station name,Mean,Lat,Lon
2022-10-15 00:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.484,-36.617034910,145.219588200
2022-10-15 01:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.551,-36.617034910,145.219588200
2022-10-15 02:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.626,-36.617034910,145.219588200
2022-10-15 03:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.685,-36.617034910,145.219588200
2022-10-15 04:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.735,-36.617034910,145.219588200
2022-10-15 05:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.786,-36.617034910,145.219588200
2022-10-15 06:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.824,-36.617034910,145.219588200
2022-10-15 07:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.86,-36.617034910,145.219588200
2022-10-15 08:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.89,-36.617034910,145.219588200
2022-10-15 09:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.919,-36.617034910,145.219588200
2022-10-15 10:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.941,-36.617034910,145.219588200
2022-10-15 11:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.968,-36.617034910,145.219588200
2022-10-15 12:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.982,-36.617034910,145.219588200
2022-10-15 13:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.998,-36.617034910,145.219588200
2022-10-15 14:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.007,-36.617034910,145.219588200
2022-10-15 15:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.02,-36.617034910,145.219588200
2022-10-15 16:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.031,-36.617034910,145.219588200
2022-10-15 17:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.04,-36.617034910,145.219588200
2022-10-15 18:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.04,-36.617034910,145.219588200
2022-10-15 19:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.044,-36.617034910,145.219588200
2022-10-15 20:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.042,-36.617034910,145.219588200
2022-10-15 21:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.045,-36.617034910,145.219588200
2022-10-15 22:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.046,-36.617034910,145.219588200
2022-10-15 23:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.036,-36.617034910,145.219588200
2022-10-16 00:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.04,-36.617034910,145.219588200
2022-10-16 01:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.042,-36.617034910,145.219588200
2022-10-16 02:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.035,-36.617034910,145.219588200
2022-10-16 03:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.023,-36.617034910,145.219588200
2022-10-16 04:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),12.023,-36.617034910,145.219588200
2022-10-16 05:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.997,-36.617034910,145.219588200
2022-10-16 06:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.987,-36.617034910,145.219588200
2022-10-16 07:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.963,-36.617034910,145.219588200
2022-10-16 08:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.958,-36.617034910,145.219588200
2022-10-16 09:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.935,-36.617034910,145.219588200
2022-10-16 10:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.916,-36.617034910,145.219588200
2022-10-16 11:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.901,-36.617034910,145.219588200
2022-10-16 12:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.877,-36.617034910,145.219588200
2022-10-16 13:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.869,-36.617034910,145.219588200
2022-10-16 14:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.853,-36.617034910,145.219588200
2022-10-16 15:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.835,-36.617034910,145.219588200
2022-10-16 16:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.82,-36.617034910,145.219588200
2022-10-16 17:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.795,-36.617034910,145.219588200
2022-10-16 18:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.786,-36.617034910,145.219588200
2022-10-16 19:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.769,-36.617034910,145.219588200
2022-10-16 20:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.755,-36.617034910,145.219588200
2022-10-16 21:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.741,-36.617034910,145.219588200
2022-10-16 22:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.721,-36.617034910,145.219588200
2022-10-16 23:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.7,-36.617034910,145.219588200
2022-10-17 00:00:00,405200,Goulburn River @ Murchison (Mcphee'S Rest),11.659,-36.617034910,145.219588200
2022-10-13 00:00:00,407205,Loddon River @ Appin South,3.055,-35.924326460,143.871882200
2022-10-13 01:00:00,407205,Loddon River @ Appin South,3.059,-35.924326460,143.871882200
2022-10-13 02:00:00,407205,Loddon River @ Appin South,3.065,-35.924326460,143.871882200
2022-10-13 03:00:00,407205,Loddon River @ Appin South,3.07,-35.924326460,143.871882200
2022-10-13 04:00:00,407205,Loddon River @ Appin South,3.075,-35.924326460,143.871882200
2022-10-13 05:00:00,407205,Loddon River @ Appin South,3.079,-35.924326460,143.871882200
2022-10-13 06:00:00,407205,Loddon River @ Appin South,3.083,-35.924326460,143.871882200
2022-10-13 07:00:00,407205,Loddon River @ Appin South,3.09,-35.924326460,143.871882200
2022-10-13 08:00:00,407205,Loddon River @ Appin South,3.095,-35.924326460,143.871882200
2022-10-13 09:00:00,407205,Loddon River @ Appin South,3.096,-35.924326460,143.871882200
2022-10-13 10:00:00,407205,Loddon River @ Appin South,3.098,-35.924326460,143.871882200
2022-10-13 11:00:00,407205,Loddon River @ Appin South,3.1,-35.924326460,143.871882200
2022-10-13 12:00:00,407205,Loddon River @ Appin South,3.101,-35.924326460,143.871882200
2022-10-13 13:00:00,407205,Loddon River @ Appin South,3.101,-35.924326460,143.871882200
2022-10-13 14:00:00,407205,Loddon River @ Appin South,3.104,-35.924326460,143.871882200
2022-10-13 15:00:00,407205,Loddon River @ Appin South,3.107,-35.924326460,143.871882200
2022-10-13 16:00:00,407205,Loddon River @ Appin South,3.108,-35.924326460,143.871882200
2022-10-13 17:00:00,407205,Loddon River @ Appin South,3.111,-35.924326460,143.871882200
2022-10-13 18:00:00,407205,Loddon River @ Appin South,3.114,-35.924326460,143.871882200
2022-10-13 19:00:00,407205,Loddon River @ Appin South,3.115,-35.924326460,143.871882200
2022-10-13 20:00:00,407205,Loddon River @ Appin South,3.115,-35.924326460,143.871882200
2022-10-13 21:00:00,407205,Loddon River @ Appin South,3.115,-35.924326460,143.871882200
