Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Murray R at Biggara,3.00pm Thu,1.11,steady,below minor,2022-10-13 15:21:38.985233+11:00,VIC
South Para Reservoir (SAW),2.35pm Thu,26.91,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
North Para R at Mt Mckenzie (DEW),2.05pm Thu,1.10,steady,,2022-10-13 15:21:38.985233+11:00,SA
North Para R at Penrice (DEW),2.05pm Thu,1.15,steady,,2022-10-13 15:21:38.985233+11:00,SA
Duckponds Ck at Stockwell (DEW),2.05pm Thu,1.05,steady,,2022-10-13 15:21:38.985233+11:00,SA
North Para R at Nuriootpa(Park Ave),1.20pm Thu,0.16,falling,below minor,2022-10-13 15:21:38.985233+11:00,SA
Tanunda Ck at Bethany (DEW),2.05pm Thu,1.14,steady,,2022-10-13 15:21:38.985233+11:00,SA
Jacobs Ck at Barossa Highway,2.34pm Thu,0.10,rising,,2022-10-13 15:21:38.985233+11:00,SA
North Para R at Yaldara (DEW),2.05pm Thu,1.23,steady,,2022-10-13 15:21:38.985233+11:00,SA
Greenock Ck at Greenock (DEW),2.05pm Thu,1.23,steady,,2022-10-13 15:21:38.985233+11:00,SA
Greenock Ck at Shea-Oak Log,2.20pm Thu,-0.11,steady,,2022-10-13 15:21:38.985233+11:00,SA
North Para R at Turretfield Dam,1.04pm Thu,58.95,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
North Para R below Tur. Dam (DEW),2.05pm Thu,1.22,steady,,2022-10-13 15:21:38.985233+11:00,SA
Gawler R at Gawler West(Gosford St),2.35pm Thu,0.27,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Gawler R at Virginia (DEW),2.05pm Thu,1.33,steady,,2022-10-13 15:21:38.985233+11:00,SA
Shoalhaven R at Warri,3.00pm Thu,2.09,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Shoalhaven R at Mountview,2.30pm Thu,1.93,steady,,2022-10-13 15:21:38.985233+11:00,NSW
R Murray at Wentworth (Lock 10),2.00pm Thu,31.78,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 9 (DEW),2.00pm Thu,28.27,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 9 (DEW),2.00pm Thu,28.28,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 8 (DEW),2.05pm Thu,26.37,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 8 (DEW),2.05pm Thu,26.34,steady,,2022-10-13 15:21:38.985233+11:00,SA
Lake Victoria (DEW),2.05pm Thu,26.22,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 7 (DEW),2.00pm Thu,24.66,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 6 (DEW),2.00pm Thu,19.65,rising,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 6 (DEW),2.00pm Thu,19.57,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Chowilla DS Monoman Ck (DEW),2.00pm Thu,19.15,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 5 (DEW),2.00pm Thu,16.32,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 5 (DEW),2.00pm Thu,16.19,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
South Para R at SE Gawler (DEW),2.05pm Thu,1.43,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Warren Reservoir (SAW),2.35pm Thu,13.08,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Berri Pump Stn (DEW),2.00pm Thu,14.37,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Malcolm Creek (SAW),2.35pm Thu,0.86,steady,,2022-10-13 15:21:38.985233+11:00,SA
Clyde R at Brooman,3.00pm Thu,1.75,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Lake Tabourie,3.12pm Thu,0.36,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Burrill Lake,2.47pm Thu,0.32,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Millards Creek,11.49am Thu,2.00,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Ulladulla Boat Harbour,2.46pm Thu,-0.08,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Lake Conjola,2.46pm Thu,0.34,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Sussex Inlet at Sussex Rd Boat Ramp,3.03pm Thu,0.35,steady,below minor,2022-10-13 15:21:38.985233+11:00,NSW
Jervis Bay at HMAS Creswell,2.46pm Thu,1.02,falling,,2022-10-13 15:21:38.985233+11:00,NSW
St Georges Basin at Island Pt Rd,2.45pm Thu,0.34,steady,below minor,2022-10-13 15:21:38.985233+11:00,NSW
Tomerong Ck at Hawken Rd (AHD),2.42pm Thu,0.30^,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Currambene Ck at Falls Ck,3.00pm Thu,0.48,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Crooked R at Gerroa,2.45pm Thu,0.33,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Currarong,3.14pm Thu,-0.05,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Broughton Creek,1.58pm Thu,0.79,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Lake Wollumboola,2.45pm Thu,0.49,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Crookhaven R at Crookhaven Heads,2.46pm Thu,0.10,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Crookhaven R at Greenwell Pt,3.01pm Thu,0.19,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Shoalhaven R at Shoalhaven Heads,2.59pm Thu,0.39,falling,,2022-10-13 15:21:38.985233+11:00,NSW
