Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,2022-10-14 03:50:01.646482+11:00,TAS
Duck Rv at Scotchtown (D),1.00am Fri,2.30,rising,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Forth,Forth,Forth,Forth,Forth,Forth,Forth,2022-10-14 03:50:01.646482+11:00,TAS
Forth Rv (Abv Lemonthyme PS) (H),3.15am Fri,6.40,steady,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Lake Cethana Dam (H),3.15am Fri,223.07^,steady,2.09 above FSL,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Lake Barrington Dam (H),3.15am Fri,122.47^,steady,0.55 above FSL,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Lake Paloona Dam (Forth Rv) (H),3.15am Fri,51.45^,steady,1.89 below FSL,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Middlesex Plain (Iris Rv) (H),3.15am Fri,1.58,falling,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Lake Gairdner Dam (H),3.15am Fri,475.30^,falling,2.86 above FSL,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Wilmot Rv (Abv Forth) (H),3.15am Fri,6.01,steady,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Forth Rv blw Wilmot (H),3.15am Fri,5.57,steady,,moderate,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Mersey,Mersey,Mersey,Mersey,Mersey,Mersey,Mersey,2022-10-14 03:50:01.646482+11:00,TAS
Rowallan Dam (H),3.15am Fri,480.61^,steady,7.07 below FSL,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Mersey Rv (Abv Arm) (H),3.00am Fri,0.47,steady,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Abv Mersey Rv (Arm Rv) (H),3.00am Fri,1.82,rising,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Abv Lake Mackenzie (H),8.45pm Thu,2.10,steady,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Parangana Dam (H),3.15am Fri,383.39^,steady,2.39 above FSL,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Mersey Rv at Liena (H),3.15am Fri,4.01,falling,,moderate,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Mersey Rv at Kimberley,3.28am Fri,4.60,rising,,major,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Mersey Rv at Shale Rd (D),1.15am Fri,7.41,rising,,,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
Mersey Rv at Latrobe Bridge,3.00am Fri,4.10,steady,,major,Plot | Table,2022-10-14 03:50:01.646482+11:00,TAS
