Site,Site name,Lat,Lon
019025,Morchard,-32.7654,138.5055
019030,Quorn,-32.4683,138.0159
019031,Oodla Wirra,-32.8853,139.0602
019032,Orroroo,-32.7335,138.6135
019034,Peterborough,-32.9737,138.8375
019037,Port Germein,-33.0216,138.0002
019038,Quorn,-32.3538,138.0371
019042,Melrose,-32.8454,138.2116
019043,Tarcowie,-32.9495,138.5174
019046,Hawker,-31.7750,138.6529
019047,Booleroo Centre,-32.6923,138.3247
019048,Wilmington,-32.6521,138.1003
019050,Hawker,-31.9883,138.3424
019052,Wirrabara,-33.0338,138.2686
019053,Wirrabara Forest,-33.0856,138.2119
019057,Orroroo,-32.5523,138.8691
019061,Cradock,-32.0545,138.6427
019062,Yongala,-33.0276,138.7560
019070,Wilpena Pound,-31.5286,138.6093
019071,Mount Remarkable,-32.7244,138.0829
019078,Port Augusta,-32.5172,137.8425
019098,Carrieton,-32.2554,138.6377
019103,Wilmington,-32.6682,138.1576
019106,Oodla Wirra,-32.6270,139.1923
019107,Wilpena,-31.3667,138.7176
019108,Hammond,-32.4961,138.3730
019109,Cradock,-32.1244,138.4674
019111,Martins Well,-31.4763,139.1134
019112,Port Germein,-33.0230,138.0698
019113,Edeowie,-31.4480,138.4531
019114,Minburra,-32.4295,138.8922
019115,Mannanarie,-33.0182,138.6153
019116,Booleroo Whim,-32.7722,138.3005
019117,Tarcowie,-32.9073,138.5585
019118,Peterborough,-32.9559,138.9445
019119,Murray Town,-32.9392,138.2088
019120,Mambray Creek,-32.8451,137.9956
019121,Mt Davidson,-31.7671,138.9987
019122,Willochra Plain,-32.2058,138.2420
020000,Bimbowrie,-32.0498,140.1620
020001,Boolcoomatta,-31.9695,140.5436
020002,Cockburn,-32.0760,140.9969
020004,Curnomona,-31.6516,139.5491
020005,Erudina,-31.4783,139.3862
020006,Frome Downs,-31.2196,139.7763
020010,Koonamore,-32.0646,139.3820
020012,Lilydale,-32.9571,139.9720
020013,Manna Hill,-32.4292,139.9887
020016,Mulyungarie,-31.5542,140.7920
020017,Mutooroo,-32.4467,140.9233
020020,Yunta,-32.6416,139.6496
020021,Yunta,-32.7268,139.4002
020022,Sturt Vale,-33.2458,140.0345
020024,Yunta,-32.4727,139.7097
020025,Woolgangi,-33.5009,139.5154
020028,Gluepot Reserve,-33.7622,140.1251
020030,Pine Valley,-33.3119,140.1856
020043,Braemar,-33.1873,139.6209
020048,Manna Hill,-32.4932,140.2299
020049,Mooleulooloo,-31.6382,140.5130
020050,Plumbago,-32.0620,139.8874
020051,Melton,-32.3284,139.3449
020052,Mount Victor,-32.0575,139.6187
020053,Cockburn,-32.1698,140.7959
020054,Quondong,-33.0809,140.3299
020055,Strathearn,-31.7484,140.3426
020058,Olary,-32.2988,140.4152
020059,Yarramba,-31.6619,140.6289
020061,Yunta,-32.5218,139.5554
020062,Yunta Airstrip,-32.5707,139.5645
021000,Brinkworth,-33.7322,138.4922
021001,Auburn,-34.0260,138.6846
021002,Balaklava,-34.1424,138.4225
021003,Blyth,-33.8463,138.4893
021004,Booborowie,-33.5643,138.7595
021007,Brinkworth,-33.6903,138.4041
021009,Spalding,-33.4660,138.5412
021010,Brinkworth,-33.7460,138.5625
021012,Bute,-33.8612,138.0114
021013,Caltowie,-33.1854,138.4729
021015,Snowtown,-33.7045,138.2927
021016,Crystal Brook,-33.3530,138.2057
021019,Farrell Flat,-33.8314,138.7917
021020,Georgetown,-33.3590,138.3930
021021,Gladstone,-33.2703,138.3563
021022,Gulnare,-33.4692,138.4426
021023,Hallett,-33.4097,138.8903
021024,Hallett,-33.4595,138.7475
021025,Clare,-33.8347,138.6532
021027,Jamestown,-33.2036,138.6059
021029,Koolunga,-33.5867,138.3328
021031,Laura,-33.1851,138.3001
021033,Mintaro,-33.9136,138.7195
021034,Mount Bryan,-33.5592,138.9030
021036,Mundoora,-33.5950,138.0852
021041,Burra,-33.5616,139.0979
021042,Port Broughton,-33.6029,137.9348
021044,Port Wakefield,-34.1848,138.1478
021045,Redhill,-33.5407,138.2244
021047,Spalding,-33.5001,138.6093
021050,Terowie,-33.1505,138.9196
021054,Watervale,-33.9606,138.6446
021055,Whyte Yarcowie,-33.2296,138.8844
021057,Yacka,-33.5707,138.4503
021059,Hilltown,-33.6867,138.6378
021060,Jamestown Pirsa,-33.2025,138.6024
021062,Hallett,-33.3041,138.7553
021063,Port Wakefield,-34.1564,138.1827
021067,Hallett,-33.4115,138.8179
021072,Huddleston,-33.3265,138.3172
021073,Kybunga,-33.9286,138.5450
021075,Clare,-33.7464,138.6058
021076,Manoora,-33.9309,138.8140
021077,Burra Community School,-33.6781,138.9371
021085,Hallett,-33.3392,138.9241
021100,Burra,-33.6544,138.8264
021101,Snowtown,-33.7021,138.1034
021102,Nurom,-33.3500,138.1020
021104,Balaklava,-33.9956,138.4544
021106,Bowillia,-33.9530,138.3903
021108,Port Broughton,-33.4579,137.9839
021110,Tickera,-33.7876,137.7068
021112,Bowmans,-34.1209,138.2851
021115,Mundoora,-33.6922,138.1332
021120,Whyte-Yarcowie,-33.2549,138.7867
021121,Apoinga,-33.9595,138.9328
021123,Mintaro,-33.9394,138.7166
021124,Laura,-33.1962,138.2197
021127,Sevenhill,-33.8828,138.6389
021129,Clare,-33.8625,138.6211
021130,Rhynie,-34.1011,138.6317
021131,Clare High School,-33.8226,138.5933
021132,Nantawarra,-34.0445,138.1921
021133,Snowtown,-33.7676,138.2182
021136,Burra,-33.6722,138.9847
021137,Hoyleton,-34.0033,138.5672
021138,Worlds End,-33.8870,139.0720
021139,Port Pirie Aerodrome Aws,-33.2371,137.9971
021140,Waterloo East,-33.9993,138.9095
022000,Ardrossan,-34.4228,137.9175
022002,Corny Point,-34.9152,137.0625
022003,Curramulka,-34.6981,137.7116
022008,Maitland,-34.3745,137.6733
022009,Minlaton,-34.7708,137.5952
022010,Maitland,-34.3318,137.5899
022011,Moonta,-34.0672,137.5925
022012,Paskeville,-34.0402,137.9004
022013,Port Victoria,-34.4941,137.4845
022014,Port Vincent,-34.7769,137.8573
022015,Price,-34.2971,138.0014
022016,Sandilands,-34.5201,137.7733
