Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Dumaresq R at Farnbro,2.00pm Thu,1.28,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Pike Ck at Glenlyon Dam TW,2.15pm Thu,0.90,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Mole R at Donaldson,1.30pm Thu,0.90,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Dumaresq R at Roseneath,2.00pm Thu,1.21,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Dumaresq R at Texas,12.00pm Thu,1.90,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Leycester Ck at Rock Valley,1.55pm Thu,1.17,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Oaky Ck at Texas,2.00pm Thu,0.42,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Brush Ck at Beebo,2.00pm Thu,1.55,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Dumaresq R at Glenarbon Weir D/S,2.00pm Thu,0.99,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Macintyre Bk at Barongarook,2.00pm Thu,1.15,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Chain of Ponds Ck at Artunga,1.22pm Thu,1.37,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Bracker Ck at Terraine,2.00pm Thu,0.10,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Macintyre Bk at Coolmunda Dam HW,2.00pm Thu,0.01,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Macintyre Bk at Coolmunda Dam TW,2.00pm Thu,0.62,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
4 Mile Ck at Glen Niven Dam TM,1.00pm Thu,879.46,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Quart Pot Ck at Stanthorpe,2.00pm Thu,0.41,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Quart Pot Ck at Granite Street,12.41pm Thu,0.43,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Corindi R at Boyles Bridge,3.40pm Thu,1.03,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Corindi R at Pacific Highway,3.39pm Thu,1.07,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Woolgoolga Ck at Woolgoolga,3.15pm Thu,0.03,steady,,2022-10-13 16:07:30.866648+11:00,NSW
