Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,2022-10-14 03:40:01.969279+11:00,NT
Armstrong R u/s Buntine Highway*,12.30am Fri,0.02,steady,3.58 below bridge deck,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Townsend Ck u/s Buntine Highway*,12.30am Fri,0.14,steady,2.61 below bridge deck,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Camfield R at Buntine Highway*,9.00pm Thu,0.80,steady,4.00 below bridge deck,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Victoria R at Kalkarindji*,1.45am Fri,-0.45,steady,9.75 below bridge deck,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Wickham R at Williams Crossing*,12.30am Fri,0.35,steady,0.18 below crossing,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Victoria R at Dashwood Crossing*,12.30am Fri,0.02,steady,0.48 below crossing,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,2022-10-14 03:40:01.969279+11:00,NT
Katherine R near Birdie Creek*,2.00am Fri,1.03,steady,At Level of CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Seventeen Mile Creek*,1.50am Fri,0.68,steady,0.35 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Katherine R at Nitmiluk Centre#,1.50am Fri,-1.91,steady,0.11 below CTF,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Maud Creek*,1.50am Fri,5.21,steady,4.79 below bridge deck,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Katherine R at Ironwood Station*,1.45am Fri,1.29,steady,0.09 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Katherine R at Katherine Bridge#,1.45am Fri,0.22,steady,18.78 below bridge deck,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,2022-10-14 03:40:01.969279+11:00,NT
Dry R near Manbulloo*,12.30am Fri,0.07,steady,0.13 below CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
King R d/s Stuart Highway*,12.30am Fri,0.68,steady,0.23 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
King R d/s Victoria Highway*,12.30am Fri,0.81,steady,0.50 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Flora R at Stoney Creek*,12.30am Fri,1.64,steady,0.79 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Edith R u/s Stuart Highway*,1.10am Fri,0.34,steady,0.16 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Cullen R at Stuart Highway*,12.40am Fri,0.39,steady,5.71 below bridge deck,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Fergusson R at Railway Bridge*,1.00am Fri,1.13,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Fergusson R near Bondi Creek*,1.50am Fri,2.62,steady,0.42 above crossing,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly R at Dorisvale Crossing*,12.30am Fri,1.65,steady,0.35 above crossing,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly R at Theyona Station*,12.30am Fri,1.29,steady,1.29 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Douglas R at Douglas Crossing*,1.30am Fri,0.65,steady,0.38 above CTF,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly R at Beeboom Crossing*,9.00pm Thu,0.80,steady,0.20 below crossing,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly R at Gourley*,12.30am Fri,1.52,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly R at Mount Nancar*,1.45am Fri,1.70,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Daly R at Daly R Police Station*,1.45am Fri,1.28,steady,0.22 below crossing,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,2022-10-14 03:40:01.969279+11:00,NT
Rapid Creek*,1.50am Fri,0.94,steady,0.13 above CTF,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Elizabeth R at Stuart Highway*,1.40am Fri,-0.12,steady,2.92 below approaches,,Plot | Table,2022-10-14 03:40:01.969279+11:00,NT
Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,2022-10-14 03:40:01.969279+11:00,NT
