Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Waterhouse R d/s of Diljin Hill*,6.00am Mon,1.38,steady,1.05 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Waterhouse R at Beswick Bridge*,6.45am Mon,1.12,steady,4.88 below bridge deck,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Wilton R at Roper Highway*,6.00am Mon,1.47,steady,7.81 below bridge deck,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Roper R downstream of Mataranka*,7.15am Mon,0.36,steady,0.29 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,2022-10-17 09:28:27.703927+11:00,NT
McArthur R at Baileys Grave*,9.00pm Sun,0.23,steady,0.88 below CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
McArthur R at MRM*,6.45am Mon,1.12,steady,0.29 below CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
McArthur R at Borroloola*,6.45am Mon,1.08,steady,7.92 below bridge deck,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,2022-10-17 09:28:27.703927+11:00,NT
Todd R at Wigley Gorge*,5.08am Mon,0.11,steady,0.19 below CTF,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Charles R at Big Dipper#,7.10am Mon,0.21,steady,0.25 below CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Todd R at Anzac Oval*,5.43am Mon,0.39,steady,0.77 below CTF,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Todd R at Heavitree Gap*,6.40am Mon,-0.25,steady,0.40 below CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
