Site Id,Site Name,Latitude,Longitude,Easting,Northing,Zone,Gauge Zero (Ahd),Site Start Date,Site Cease Date,Drainage Area (Sq.Km),
"204037","CLOUDS CREEK AT CLOUDS CREEK","-30.092071015","152.62930228","464278.8","6670938.3","56","581.975","1952/06/27","","62"
"204039","MARYLAND RIVER D/S WYLIE CREEK","-28.46634","152.19876","421577.7","6850862.3","56","469.806","1953/09/30","","373"
"204041","ORARA RIVER AT BAWDEN BRIDGE","-29.721692","152.809934","481617.623","6712037.674","56","1.86","1955/06/16","","1790"
"204043","PEACOCK CREEK AT BONALBO","-28.7329","152.6747","468236.5","6821562.4","56","182.256","1960/03/25","","47"
"204046","TIMBARRA RIVER AT DRAKE","-29.05473","152.38605","440232.23","6785795.24","56","211.852","1969/07/08","","1720"
"204051","CLARENCE RIVER AT PADDYS FLAT","-28.71982","152.41982","443338.269","6822917.437","56","168.883","1970/06/17","","2230"
"204055","SPORTSMANS CREEK AT GURRANANG SIDING","-29.465214138","152.982721736","498324.689","6740470.742","56","3.417","1972/02/28","","202"
"204056","DANDAHRA CREEK AT GIBRALTAR RANGE","-29.484832","152.446839","446375.067","6738169.809","56","22.555","1972/05/10","","104"
"204067","GORDON BROOK AT FINEFLOWER","-29.40164371","152.653911487","466428.5","6747484.3","56","49.504","1983/04/22","","315"
"204068","ORARA RIVER AT ORANGE GROVE","-30.257631","153.011285","501085.59","6652666.444","56","105.734","1995/08/07","","126"
"204069","NYMBOIDA RIVER D/S NYMBOIDA WEIR","-29.921557","152.686131","469704.205","6689865.336","56","171.523","1997/09/17","","1732"
"204071","BIELSDOWN RIVER AT CHARLESTEAD","-30.233893","152.710842","472165.1","6655248.1","56","502.876","2003/05/21","","131"
"204072","NYMBOIDA TAILRACE AT POWER STATION RIGHT BANK FLUME","-29.925728527","152.741884026","475086.752","6689416.499","56","109.62","1999/08/18","","0"
"204073","NYMBOIDA TAILRACE AT POWER STATION LEFT BANK FLUME","-29.925728527","152.741884026","475086.752","6689416.499","56","109.6","1999/08/18","","0"
"204400","CLARENCE RIVER AT GRAFTON","-29.69362829","152.93175728","493398","6715149","56","0","2009/12/04","","0"
"204403","COLDSTREAM RIVER AT TUCABIA","-29.666582","153.105249","510184.787","6718154.512","56","0","2001/08/14","","0"
"204413","CLARENCE RIVER AT ROGANS BRIDGE","-29.61912085","152.88444882","488813","6723401","56","0","2009/12/03","","0"
"204900","CLARENCE RIVER AT BARYULGIL","-29.196113","152.593194","460451.97","6770217.952","56","72.089","1971/07/15","","7490"
"204906","ORARA RIVER AT GLENREAGH","-30.067556","152.98529","498582.216","6673728.779","56","53.1","1972/11/15","","446"
"205002","BELLINGER RIVER AT THORA","-30.426775691","152.779625951","478836.941","6633902.306","56","24.84","1955/06/22","","433"
"205015","NAMBUCCA RIVER (NORTH ARM) U/S BOWRAVILLE","-30.6288","152.8496","485589.9","6611521.2","56","4.95","2006/06/01","","250"
"205016","BELLINGER RIVER AT FOSTERS","-30.4417","152.8852","488977","6632262.1","56","0.751","2007/07/31","","642"
"205018","SOUTH CREEK AT BOWRAVILLE","-30.648383","152.846001","485233","6609374","56","2.82","2011/07/15","","0"
"205019","NEVER NEVER CREEK AT OLD CROSSING","-30.38361","152.889596","489392.979","6638701.153","56","28.67","2006/09/06","","0"
"206001","STYX RIVER AT JEOGLA","-30.5885","152.1634","419789.4","6615703.5","56","808.457","1918/04/29","","163"
"206024","MACLEAY RIVER AT D/S GEORGES RIVER JUNCTION","-30.7517","152.2054","423949.6","6597646.8","56","122.153","1969/06/29","","7930"
