Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,2022-10-14 11:40:02.553508+11:00,NSW
Fish R at Tarana,11.04am Fri,1.15,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Campbells R U/S Chifley Dam,11.14am Fri,1.21,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Chifley Dam,10.51am Fri,710.70^,rising,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at White Rock,11.10am Fri,2.16,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Queen Charlottes Ck-Georges Plains,10.13am Fri,0.84,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Bathurst,10.23am Fri,1.48,steady,below minor,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Orange,Orange,Orange,Orange,Orange,Orange,2022-10-14 11:40:02.553508+11:00,NSW
Orange (Kyte St),10.51am Fri,0.08,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Orange (Dalton St Bridge),11.10am Fri,0.77,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R Upstream STP,11.10am Fri,2.58,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R Downstream STP,10.59am Fri,2.45,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Rocks Forest,11.00am Fri,1.66,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Yarracoona,9.15am Fri,1.92,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Turon R at Sofala,11.00am Fri,2.34,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Cudgegong R at Windamere Dam,11.00am Fri,552.24,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Cudgegong R D/S Windamere Dam,9.00am Fri,1.49,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Cudgegong R at Rocky Waterhole,11.00am Fri,3.07,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Cudgegong R at Wilbertree Rd,11.00am Fri,2.32,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Cudgegong R at Yamble Bridge,10.45am Fri,2.16,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R D/S Burrendong Dam,11.00am Fri,4.30,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Bell River,Bell River,Bell River,Bell River,Bell River,Bell River,2022-10-14 11:40:02.553508+11:00,NSW
Molong Ck D/S Borenore Ck,11.00am Fri,1.02,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Bell R at Molong,11.00am Fri,1.39,rising,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Bell R at Neurea,10.00am Fri,1.41,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Bell R at Gowan Green,11.00am Fri,1.03,rising,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Bell R at Wellington,11.00am Fri,2.24,steady,below minor,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Little River,Little River,Little River,Little River,Little River,Little River,2022-10-14 11:40:02.553508+11:00,NSW
Little R at Obley,9.15am Fri,1.56,rising,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Wellington Br,11.00am Fri,5.26,steady,minor,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Geurie,11.00am Fri,6.22,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Dubbo,11.00am Fri,3.90,falling,below minor,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Talbragar River,Talbragar River,Talbragar River,Talbragar River,Talbragar River,Talbragar River,2022-10-14 11:40:02.553508+11:00,NSW
Talbragar R at Elong Elong,11.00am Fri,1.44,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Talbragar R at Gulambula Bridge,11.00am Fri,1.15,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Talbragar R at Dunedoo,9.00am Fri,2.01,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,2022-10-14 11:40:02.553508+11:00,NSW
Coolbaggie Ck at Rawsonville,11.00am Fri,0.57,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Baroona,10.00am Fri,6.69,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Gin Gin Weir,11.00am Fri,11.31,steady,,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
Macquarie R at Narromine,1.00pm Thu,8.44,falling,minor,Plot | Table,2022-10-14 11:40:02.553508+11:00,NSW
