Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Lake Macquarie,Lake Macquarie,Lake Macquarie,Lake Macquarie,Lake Macquarie,Lake Macquarie,2022-10-17 09:28:27.703927+11:00,NSW
Slatey Creek,8.45am Mon,18.29,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Winding Ck at Fifth St Br,8.45am Mon,14.73,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Cockle Ck at Barnsley Vale,8.55am Mon,0.49,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Cockle Ck at Cockle Ck Railway Stn,8.45am Mon,0.06,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Lake Macquarie at Marmong Point,8.45am Mon,0.07,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Lake Macquarie at Belmont,8.45am Mon,0.07,rising,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Stoney Creek U/S Toronto,8.45am Mon,0.07,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Stoney Creek at Toronto,12.32am Mon,0.05,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dora Ck at Cooranbong,8.45am Mon,1.16,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Stockton Ck at Morrisset,8.45am Mon,0.10,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dora Ck at Kalang Rd,8.45am Mon,0.10,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Lake Macquarie at Swansea Channel,8.45am Mon,0.01,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wyong - Tuggerah Lake,Wyong - Tuggerah Lake,Wyong - Tuggerah Lake,Wyong - Tuggerah Lake,Wyong - Tuggerah Lake,Wyong - Tuggerah Lake,2022-10-17 09:28:27.703927+11:00,NSW
Wyong R at Yarramalong,8.15am Mon,2.86,rising,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wyong R at Gears,8.05am Mon,2.35,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wyong R at Gracemere,8.15am Mon,2.25,rising,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Jilliby Ck at Jilliby,8.30am Mon,1.06,rising,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wyong R U/S Wyong Weir,8.45am Mon,1.62,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wyong R U/S Wyong Br,8.45am Mon,0.34,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Tumbi Umbi Ck,8.45am Mon,0.31,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wallarah Ck at Bridge,8.45am Mon,0.32,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Ourimbah Ck U/S Weir,8.30am Mon,1.01,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Ourimbah (Ourimbah Ck),8.46am Mon,10.45,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Ourimbah Ck at Kangy Angy,8.45am Mon,6.12,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Ourimbah Ck at Lees Bridge,8.45am Mon,0.35,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Tuggerah Lake at Toukley,8.45am Mon,0.31,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Tuggerah Lake at The Entrance,8.45am Mon,0.28,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Tuggerah Lake at Long Jetty,8.45am Mon,0.31,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gosford,Gosford,Gosford,Gosford,Gosford,Gosford,2022-10-17 09:28:27.703927+11:00,NSW
Lisarow,9.09am Mon,1.93,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Narara,8.32am Mon,2.18,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
West Gosford,9.10am Mon,0.08,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Patonga (Tidal),8.46am Mon,0.04,rising,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Northern Beaches,Northern Beaches,Northern Beaches,Northern Beaches,Northern Beaches,Northern Beaches,2022-10-17 09:28:27.703927+11:00,NSW
Narabeen Lagoon at Ocean Street,8.46am Mon,0.24,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wollondilly River,Wollondilly River,Wollondilly River,Wollondilly River,Wollondilly River,Wollondilly River,2022-10-17 09:28:27.703927+11:00,NSW
Mulwaree R at The Towers,8.15am Mon,3.56,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Pejar Dam,6.48am Mon,-0.13,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Kialla Ck at Pomeroy,8.45am Mon,0.89,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wollondilly R at Marsden Weir,7.52am Mon,0.23,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mulwaree R at Lansdowne Br,8.20am Mon,0.71,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wollondilly R at Murrays Flat,8.30am Mon,1.35,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wollondilly R at Golden Valley,7.45am Mon,1.47,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Wingecarribee R at Sheepwash Bridge,8.15am Mon,0.94,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
