Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Tweed River,Tweed River,Tweed River,Tweed River,Tweed River,Tweed River,2022-10-14 05:10:02.115834+11:00,NSW
Tyalgum Bridge,4.32am Fri,0.83,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Clarrie Hall Dam (mAHD),4.11am Fri,61.51^,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Clarrie Hall Dam D/S,4.12am Fri,0.54,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Palmers Road,4.41am Fri,0.68,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Uki,4.00am Fri,1.22,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Oxley R at Eungella,4.01am Fri,0.57,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Bray Park Weir (mAHD),1.45am Fri,1.13^,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Murwillumbah Br (mAHD),4.42am Fri,-0.10^,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Murwillumbah (mAHD),4.42am Fri,-0.10^,steady,below minor,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Rous R at Chillingham,3.07am Fri,0.99,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Rous R at Boat Harbour,4.43am Fri,0.20,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Rous R at Boat Harbour (Nobbys Ck),4.00am Fri,0.86,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Rouse R at Kynnumboon,4.38am Fri,0.08^,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Tumbulgum,4.42am Fri,-0.14^,steady,below minor,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Chindera (mAHD),4.40am Fri,-0.22^,steady,below minor,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Barneys Point,4.15am Fri,0.72,falling,below minor,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed R at Dry Dock (mAHD),4.36am Fri,-0.25^,steady,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,2022-10-14 05:10:02.115834+11:00,NSW
Cudgen Ck at Kingscliff,4.16am Fri,-0.31,falling,,Plot | Table,2022-10-14 05:10:02.115834+11:00,NSW
