Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,Macquarie River to Bathurst,2022-10-14 05:00:01.792795+11:00,NSW
Fish R at Tarana,4.14am Fri,1.12,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Campbells R U/S Chifley Dam,2.43am Fri,1.16,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Chifley Dam,4.33am Fri,710.68^,falling,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at White Rock,4.30am Fri,2.16,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Queen Charlottes Ck-Georges Plains,4.34am Fri,0.83,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Bathurst,4.39am Fri,1.53,steady,below minor,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Orange,Orange,Orange,Orange,Orange,Orange,2022-10-14 05:00:01.792795+11:00,NSW
Orange (Kyte St),4.38am Fri,0.08,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Orange (Dalton St Bridge),4.41am Fri,0.97,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,Macquarie River to Burrendong Dam,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R Upstream STP,4.40am Fri,2.61,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R Downstream STP,4.44am Fri,2.50,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Rocks Forest,4.17am Fri,1.64,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Yarracoona,4.30am Fri,1.90,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Turon R at Sofala,4.00am Fri,2.35,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Cudgegong R at Windamere Dam,4.00am Fri,552.24,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Cudgegong R D/S Windamere Dam,3.00am Fri,1.51,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Cudgegong R at Rocky Waterhole,4.00am Fri,3.15,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Cudgegong R at Wilbertree Rd,4.00am Fri,2.36,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Cudgegong R at Yamble Bridge,4.00am Fri,2.19,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R D/S Burrendong Dam,4.00am Fri,4.30,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Bell River,Bell River,Bell River,Bell River,Bell River,Bell River,2022-10-14 05:00:01.792795+11:00,NSW
Molong Ck D/S Borenore Ck,4.00am Fri,0.63,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Bell R at Molong,4.00am Fri,1.16,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Bell R at Neurea,4.00am Fri,1.37,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Bell R at Gowan Green,4.00am Fri,0.91,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Bell R at Wellington,4.00am Fri,2.23,steady,below minor,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Little River,Little River,Little River,Little River,Little River,Little River,2022-10-14 05:00:01.792795+11:00,NSW
Little R at Obley,10.30pm Thu,1.00,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,Central Macquarie to Dubbo,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Wellington Br,4.00am Fri,5.26,steady,minor,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Geurie,4.00am Fri,6.56,falling,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Dubbo,4.00am Fri,4.43,falling,below minor,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Talbragar River,Talbragar River,Talbragar River,Talbragar River,Talbragar River,Talbragar River,2022-10-14 05:00:01.792795+11:00,NSW
Talbragar R at Elong Elong,4.00am Fri,1.46,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Talbragar R at Gulambula Bridge,4.00am Fri,1.15,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Talbragar R at Dunedoo,4.00am Fri,2.01,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,Lower Macquarie River,2022-10-14 05:00:01.792795+11:00,NSW
Coolbaggie Ck at Rawsonville,4.00am Fri,0.57,steady,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
Macquarie R at Baroona,2.00am Fri,7.00,rising,,Plot | Table,2022-10-14 05:00:01.792795+11:00,NSW
