Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Tweed River,Tweed River,Tweed River,Tweed River,Tweed River,Tweed River,2022-10-14 12:50:02.395142+11:00,NSW
Tyalgum Bridge,12.25pm Fri,0.83,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarrie Hall Dam (mAHD),12.11pm Fri,61.54^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarrie Hall Dam D/S,12.12pm Fri,0.54,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Palmers Road,12.42pm Fri,0.72,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Uki,12.00pm Fri,1.22,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Oxley R at Eungella,10.01am Fri,0.56,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Bray Park Weir (mAHD),11.17am Fri,1.13^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Murwillumbah Br (mAHD),12.42pm Fri,0.63^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Murwillumbah (mAHD),12.42pm Fri,0.61^,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Rous R at Chillingham,9.46am Fri,0.98,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Rous R at Boat Harbour,12.44pm Fri,0.41,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Rous R at Boat Harbour (Nobbys Ck),12.00pm Fri,0.86,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Rouse R at Kynnumboon,12.42pm Fri,0.46^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Tumbulgum,12.40pm Fri,0.58^,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Chindera (mAHD),12.43pm Fri,0.50^,rising,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Barneys Point,12.15pm Fri,1.41,rising,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed R at Dry Dock (mAHD),12.40pm Fri,0.51^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,Tweed Coastal Creeks,2022-10-14 12:50:02.395142+11:00,NSW
Cudgen Ck at Kingscliff,12.16pm Fri,0.71,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Cudgen Lake at Bogangar,12.15pm Fri,0.39,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Burringbar Ck at Tweed Valley Way,12.00pm Fri,0.69,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Crabbes Ck at Crabbes Creek,10.46am Fri,0.91,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Crabbes Ck at Wooyung Road,10.18am Fri,1.25,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Brunswick River,Brunswick River,Brunswick River,Brunswick River,Brunswick River,Brunswick River,2022-10-14 12:50:02.395142+11:00,NSW
Yelgun Ck at Yelgun,11.32am Fri,2.21,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Yelgun Ck at Helen St Bridge,12.45pm Fri,0.35,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Marshalls Ck at The Pocket,12.41pm Fri,0.89,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Lacks Ck at Middle Pocket,10.57am Fri,2.23,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Marshalls Ck at Billinudgel,11.59am Fri,0.27,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Marshalls Ck at Ocean Shores,12.16pm Fri,0.70,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Brunswick R at Sherrys Br,12.28pm Fri,0.69,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Mullumbimby Ck at Mullumbimby Creek,12.42pm Fri,0.31,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Mullumbimby Ck at Azalea St Bridge,12.32pm Fri,0.84,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Brunswick R at Mullumbimby,12.44pm Fri,0.79^,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Brunswick R at Brunswick Heads,12.16pm Fri,0.76,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Byron Bay (Tallow Ck Br),12.26pm Fri,1.39,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Byron Bay (Belongil Ck Br),12.41pm Fri,0.88,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons River,Wilsons River,Wilsons River,Wilsons River,Wilsons River,Wilsons River,2022-10-14 12:50:02.395142+11:00,NSW
Back Ck at Bentley,10.53am Fri,0.79,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Leycester Ck at Rock Valley,11.15am Fri,1.16,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Goolmangar Ck at Nimbin,12.43pm Fri,1.89,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Goolmangar Ck at Goolmangar,12.43pm Fri,1.01,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Terania Ck at The Channon,12.44pm Fri,0.22,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Leycester Ck at Tuncester (mAHD),12.43pm Fri,-0.04^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Coopers Ck at Repentance,11.42am Fri,0.53,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Coopers Ck at Corndale,12.15pm Fri,0.63,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons R at Nashua,9.51am Fri,0.58,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons R at Eltham,12.40pm Fri,1.27,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons R at Woodlawn (mAHD),12.43pm Fri,-0.05^,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Browns Ck Pump Station,12.40pm Fri,5.01,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Lismore (Dawson Street),12.07pm Fri,1.90,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons R at Lismore (mAHD),12.42pm Fri,0.00^,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons R at East Gundurimba,12.15pm Fri,0.87,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wilsons R at Tuckurimba,12.41pm Fri,0.87,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Richmond River to Coraki,Richmond River to Coraki,Richmond River to Coraki,Richmond River to Coraki,Richmond River to Coraki,Richmond River to Coraki,2022-10-14 12:50:02.395142+11:00,NSW
Richmond R at Wiangaree,12.00pm Fri,0.22,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Richmond R at Kyogle,12.00pm Fri,0.54,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Eden Ck at Doubtful,11.00am Fri,1.07,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Richmond R at Casino**,12.00pm Fri,1.02,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Shannon Brook at Yorklea,12.00pm Fri,1.34,falling,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Richmond R at Coraki,12.15pm Fri,1.00,rising,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Lower Richmond River,Lower Richmond River,Lower Richmond River,Lower Richmond River,Lower Richmond River,Lower Richmond River,2022-10-14 12:50:02.395142+11:00,NSW
Myrtle Ck at Rappville,12.00pm Fri,0.33,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Bungawalbin Ck at Neileys Lagoon Rd,12.15pm Fri,1.50,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Richmond R at Bungawalbin,12.15pm Fri,1.04,rising,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Richmond R at Byrnes Pt,12.15pm Fri,1.55,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Rocky Mouth Ck U/S Evans R,12.15pm Fri,0.86,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Evans R at Tucombil Hwy Br,12.15pm Fri,1.23,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Evans R at Evans Head,12.15pm Fri,1.54,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Lake Ainsworth,12.15pm Fri,2.84,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Maguires Ck at Teven,12.43pm Fri,0.44,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence River to Baryulgil,Clarence River to Baryulgil,Clarence River to Baryulgil,Clarence River to Baryulgil,Clarence River to Baryulgil,Clarence River to Baryulgil,2022-10-14 12:50:02.395142+11:00,NSW
Maryland R at Wylie Creek,12.15pm Fri,0.66,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Cataract R at Sandy Hill,12.00pm Fri,0.73,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Peacock Ck at Bonalbo,12.00pm Fri,0.17,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Tabulam,12.00pm Fri,0.83,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Timbarra R at Billyrimba,12.00pm Fri,0.69,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Timbarra R at Drake,12.00pm Fri,1.42,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Baryulgil,11.00am Fri,2.12,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Mann and Nymboida Rivers,Mann and Nymboida Rivers,Mann and Nymboida Rivers,Mann and Nymboida Rivers,Mann and Nymboida Rivers,Mann and Nymboida Rivers,2022-10-14 12:50:02.395142+11:00,NSW
Mann R at Shannon Vale,12.00pm Fri,0.72,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Mann R at Mitchell,12.00pm Fri,0.98,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Aberfoyle R at Aberfoyle,11.00am Fri,0.73,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Guy Fawkes R at Ebor,12.00pm Fri,0.58,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Boyd R at Broadmeadows,12.00pm Fri,1.36,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Bielsdown Ck at Dorrigo,12.00pm Fri,0.73,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Nymboida R at Nymboida,12.00pm Fri,1.34,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Nymboida R d/s Nymboida Weir,11.00am Fri,1.94,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Mann R at Jackadgery,12.00pm Fri,1.67,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Dandahra Ck at Gibraltar Range,12.00pm Fri,0.47,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Lower Clarence River,Lower Clarence River,Lower Clarence River,Lower Clarence River,Lower Clarence River,Lower Clarence River,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Lilydale,12.00pm Fri,1.94,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Orara R at Orange Grove,12.05pm Fri,1.98,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Orara R at Karangi,12.00pm Fri,1.06,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Orara R at Glenreagh TM**,12.00pm Fri,0.79,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Orara R at Bawden Bridge**,12.00pm Fri,1.19,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Rogans Br.,12.15pm Fri,0.16,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Grafton (Prince St),12.15pm Fri,0.32,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Ulmarra,12.15pm Fri,0.21,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Coldstream R at Tyndale,12.15pm Fri,0.27,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Lawrence^,12.24pm Fri,0.28,steady,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Maclean,12.15pm Fri,0.38,steady,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Clarence R at Yamba,12.16pm Fri,1.54,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wooli River,Wooli River,Wooli River,Wooli River,Wooli River,Wooli River,2022-10-14 12:50:02.395142+11:00,NSW
Wooli R at Caravan Park,12.15pm Fri,0.56,rising,below minor,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
Wooli R at Entrance,12.15pm Fri,0.69,rising,,Plot | Table,2022-10-14 12:50:02.395142+11:00,NSW
