Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Mountview,7.30am Fri,1.90,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Warri,8.00am Fri,2.04,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Mongarlowe R at Mongarlowe,7.15am Fri,1.29,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Hillview,7.00am Fri,2.03,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Fossickers Flat,7.15am Fri,2.13,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,2022-10-14 08:20:02.117403+11:00,NSW
Kangaroo R at Hampden Br,6.31am Fri,0.77,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Tallowa Dam,6.45am Fri,0.29,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Danjera Ck at Danjera Dam,5.19am Fri,0.36,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Danjera Ck U/S Dam,6.33am Fri,0.00,falling,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Grassy Gully,4.00pm Thu,2.93,falling,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Nowra (AHD),7.45am Fri,-0.02,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Shoalhaven R at Shoalhaven Heads,8.14am Fri,0.06,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Crookhaven R at Greenwell Pt,8.01am Fri,0.03,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Crookhaven R at Crookhaven Heads,6.46am Fri,-0.14,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Lake Wollumboola,7.45am Fri,0.38,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Broughton Creek,7.38am Fri,0.06,,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Currarong,7.59am Fri,0.08,,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Crooked River,Crooked River,Crooked River,Crooked River,Crooked River,Crooked River,2022-10-14 08:20:02.117403+11:00,NSW
Crooked R at Gerroa,7.45am Fri,0.10,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,2022-10-14 08:20:02.117403+11:00,NSW
Currambene Ck at Falls Ck,8.00am Fri,0.45,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Tomerong Ck at Hawken Rd (AHD),6.57am Fri,0.29^,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
St Georges Basin at Island Pt Rd,7.45am Fri,0.25,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Jervis Bay at HMAS Creswell,7.46am Fri,1.07,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Sussex Inlet at Sussex Rd Boat Ramp,8.03am Fri,0.32,rising,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,Ulladulla Coast,2022-10-14 08:20:02.117403+11:00,NSW
Lake Conjola,6.35am Fri,0.23,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Ulladulla Boat Harbour,7.46am Fri,0.01,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Millards Creek,7.49am Fri,2.01,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Burrill Lake,8.02am Fri,0.23,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Lake Tabourie,8.12am Fri,0.32,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Clyde River,Clyde River,Clyde River,Clyde River,Clyde River,Clyde River,2022-10-14 08:20:02.117403+11:00,NSW
Clyde R at Brooman,8.00am Fri,1.65,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
HMAS Creswell(Jervis Bay),7.46am Fri,1.07,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Moruya River,Moruya River,Moruya River,Moruya River,Moruya River,Moruya River,2022-10-14 08:20:02.117403+11:00,NSW
Araluen Ck at Neringla Rd,8.00am Fri,0.80,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Deua R at Riverview,8.00am Fri,1.67,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Moruya R at Moruya,7.45am Fri,0.02,rising,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Tuross River,Tuross River,Tuross River,Tuross River,Tuross River,Tuross River,2022-10-14 08:20:02.117403+11:00,NSW
Tuross R at Tuross Vale,6.30am Fri,0.72,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Wadbilliga R at Wadbilliga,8.00am Fri,1.25,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Tuross R D/S Wadbilliga Junct,8.00am Fri,0.88,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Tuross R at Eurobodalla,8.00am Fri,2.03,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Wagonga R at Barlows Bay,7.45am Fri,-0.14,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bega River,Bega River,Bega River,Bega River,Bega River,Bega River,2022-10-14 08:20:02.117403+11:00,NSW
Wallaga Lake at Regatta Pt,7.45am Fri,0.27,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bermagui R at Boat Harbour,7.46am Fri,0.57,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Brogo Dam,8.00am Fri,102.81,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Brogo R at North Brogo,8.00am Fri,1.57,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Double Ck near Brogo,8.00am Fri,1.02,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Brogo R at Angledale,8.00am Fri,1.28,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bemboka R at Morans Crossing,8.00am Fri,1.08,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Tantawangalo Ck at Candelo Damsite,8.00am Fri,0.76,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bega R at Kanoona,8.00am Fri,1.79,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bega River Entrance,7.45am Fri,-0.02,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bega R at Bega North,8.00am Fri,1.04,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Towamba River,Towamba River,Towamba River,Towamba River,Towamba River,Towamba River,2022-10-14 08:20:02.117403+11:00,NSW
Merimbula Lake at Wharf,7.45am Fri,-0.20,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Pambula R at Lochiel,8.00am Fri,0.85,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Towamba R at Towamba,8.00am Fri,0.97,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Eden Boat Harbour,7.46am Fri,0.73,rising,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Snowy River,Snowy River,Snowy River,Snowy River,Snowy River,Snowy River,2022-10-14 08:20:02.117403+11:00,NSW
Little Plains R at Wellesley,8.00am Fri,0.80,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Delegate R at Quidong,8.00am Fri,0.77,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Mclaughlin R at The Hut,2.45am Fri,0.53,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Snowy R at Burnt Hut Crossing,3.15am Fri,2.17,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Snowy R at Dalgety Weir,5.15am Fri,1.59,steady,,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
Bombala R at Bombala,8.00am Fri,1.24,steady,below minor,Plot | Table,2022-10-14 08:20:02.117403+11:00,NSW
