Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Dumaresq R at Bengalla *,6.00pm Thu,2.17,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Ottleys Ck at Coolatai,6.00pm Thu,0.53,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at New Kildonan *,6.00pm Thu,4.05,steady,,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Boggabilla,5.00pm Thu,5.04,falling,,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Goondiwindi *,5.00pm Thu,5.40,falling,6.80 below Bridge,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Goondiwindi Weir *,5.25pm Thu,5.16,steady,3.66 above Weir,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Callandoon Ck at Carana Weir *,5.00pm Thu,4.94,falling,2.94 above Weir,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Callandoon Ck at Oonavale*,5.00pm Thu,6.39,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Boomi R at Boomi Offtake,4.00pm Thu,2.32,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Boomi Weir,5.00pm Thu,2.38,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Kanowna,5.00pm Thu,5.38,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Barwon R at Mungindi,5.00pm Thu,6.73,steady,,moderate,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir,Weir,Weir,Weir,Weir,Weir,Weir,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at O'Connor *,6.00pm Thu,1.45,falling,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Retreat Br *,6.00pm Thu,1.50,steady,11.00 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Gunn Br *,5.00pm Thu,0.75,steady,6.23 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Wyaga Ck at Kilbronae *,6.00pm Thu,0.55,falling,2.05 below Crossing,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Yarrill Ck at Medpark Br *,6.00pm Thu,1.28,falling,3.32 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Giddi Giddi South *,6.00pm Thu,2.30,steady,0.90 above Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Surrey *,6.00pm Thu,1.70,steady,3.10 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Talwood *,5.00pm Thu,1.61,steady,2.79 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Jericho *,5.00pm Thu,2.74,steady,1.74 above Crossing,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Weir R at Mascot *,5.00pm Thu,2.19,steady,,minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Moonie,Moonie,Moonie,Moonie,Moonie,Moonie,Moonie,2022-10-13 19:30:01.573854+11:00,NSW
Moonie R at Flinton*(Downstream),5.00pm Thu,2.28,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Moonie R at Mt Driven *,11.33pm Wed,1.07,falling,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Moonie R at Nindigully *,5.00pm Thu,1.98,rising,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Moonie R at Fenton *,5.00pm Thu,2.28,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
