Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Macintyre R at Terrewah,8.00am Mon,6.63,steady,moderate,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Boomi R at Boomi Offtake,9.00am Mon,2.54,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Boomi Weir,8.45am Mon,2.55,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Kanowna,9.00am Mon,5.21,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Weir R at Giddi Giddi South,6.00am Mon,2.50,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Weir R at Surrey,6.00am Mon,2.50,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Weir R at Talwood,7.00am Mon,2.06,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gil Gil Ck at Boolataroo,9.00am Mon,1.48,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gil Gil Ck at Galloway,9.00am Mon,3.45,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Mungindi,9.00am Mon,6.43,steady,minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Moonie River,Moonie River,Moonie River,Moonie River,Moonie River,Moonie River,2022-10-17 09:28:27.703927+11:00,NSW
Moonie R at Fenton,7.00am Mon,2.31,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Moonie R at Gundablouie,9.00am Mon,1.03,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir River to Copeton Dam,Gwydir River to Copeton Dam,Gwydir River to Copeton Dam,Gwydir River to Copeton Dam,Gwydir River to Copeton Dam,Gwydir River to Copeton Dam,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R at Bundarra,9.00am Mon,1.88,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Copes Ck at Kimberley,9.00am Mon,0.57,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Central Gwydir to Moree,Central Gwydir to Moree,Central Gwydir to Moree,Central Gwydir to Moree,Central Gwydir to Moree,Central Gwydir to Moree,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R D/S Copeton Dam,8.45am Mon,2.85,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R at Pinegrove,9.00am Mon,1.80,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Halls Ck at Bingara,9.00am Mon,0.50,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Myall Ck at Molroy,9.00am Mon,0.45,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Horton R at Horton Dam Site,9.00am Mon,0.83,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Horton R at Rider,9.00am Mon,1.14,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R at Gravesend,9.00am Mon,3.40,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R at Pallamallawa,9.00am Mon,2.57,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R at Yarraman Br,9.00am Mon,2.11,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mehi R at Chinook,9.00am Mon,2.94,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mehi R at Moree,9.00am Mon,2.90,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Lower Gwydir River,Lower Gwydir River,Lower Gwydir River,Lower Gwydir River,Lower Gwydir River,Lower Gwydir River,2022-10-17 09:28:27.703927+11:00,NSW
Mehi R at Combadello Weir D/S,9.00am Mon,186.66,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Carole Ck at Garah,9.00am Mon,176.84,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Gwydir R at Millewa,9.00am Mon,2.47,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Tycannah Ck at Horseshoe Lagoon,9.00am Mon,1.58,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Moomin Ck at Glendello,9.00am Mon,3.21,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Moomin Ck at Clarendon Br,9.00am Mon,2.42,falling,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Moomin Ck at Alma Bridge,9.00am Mon,2.78,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Moomin Ck at Moomin Plains,9.00am Mon,2.87,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mehi R U/S Ballin Bora Ck,9.00am Mon,4.79,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mehi R at Collarenebri,9.00am Mon,4.93,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Thalaba Ck at Belarre,9.00am Mon,1.49,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel River,Peel River,Peel River,Peel River,Peel River,Peel River,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Pearly Gates,7.46am Mon,0.44,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Taroona,9.06am Mon,0.63,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
