Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Coal,Coal,Coal,Coal,Coal,Coal,Coal,2022-10-14 14:40:01.656125+11:00,TAS
Coal Rv at Craigbourne Dam (D),9.00am Fri,0.35,falling,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
White Kangaroos Rt abv Coal Rv (D),1.00pm Fri,0.18,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Coal Rv at Richmond (D),1.00pm Fri,0.12,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Derwent,Derwent,Derwent,Derwent,Derwent,Derwent,Derwent,2022-10-14 14:40:01.656125+11:00,TAS
Blw Lake St Clair (Derwent Rv) (H),1.15pm Fri,0.75,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
King William Lake at Dam (H),2.15pm Fri,713.93^,steady,6.01 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Derwent abv Nive (H),2.15pm Fri,0.75,steady,,,,2022-10-14 14:40:01.656125+11:00,TAS
Little Pine Lagoon at Dam (H),2.15pm Fri,1007.23^,rising,0.13 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Pine Tier Dam (H),2.15pm Fri,669.78^,rising,0.78 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Nive abv Tungatinah (H),12.00pm Fri,0.65,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Liapootah Pond Dam (H),2.15pm Fri,340.64^,steady,1.19 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Wayatinah Lagoon at Intake (H),2.00pm Fri,230.52^,rising,0.51 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Florentine Rv at Eleven Rd (H),2.15pm Fri,0.28,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Florentine Rv abv Derwent Rv (H),2.15pm Fri,0.67,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Catagunya lake Dam (H),2.15pm Fri,167.78^,steady,1.38 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Repulse lake Dam (H),2.15pm Fri,124.74^,rising,0.22 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Cluny Lagoon Dam (H),1.50pm Fri,97.36^,rising,0.48 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Echo Lake at Dam (H),2.15pm Fri,842.01^,falling,4.42 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Dee Rv abv Derwent Rv (H),2.00pm Fri,0.17,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Derwent Rv at Glendu (H),2.15pm Fri,1.51,falling,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Ouse Rv at Lake Augusta Intake (H),2.00pm Fri,1150.83^,steady,0.23 above FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Pine Tree RT (Lake HWY) (H),2.15pm Fri,1.25,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Arthurs Lake at Pump Station (H),2.15pm Fri,951.59^,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Ouse Rv (blw Liawenee Canal) (H),2.15pm Fri,2.88,falling,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Ouse Rv at Monpeelyata Wier (H),2.00pm Fri,11.91,falling,,,,2022-10-14 14:40:01.656125+11:00,TAS
St Patricks Plains (H),2.15pm Fri,0.63,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Shannon Rv at Hermitage (H),2.15pm Fri,1.16,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Ouse Rv at Ashton (H),2.00pm Fri,3.36,falling,,moderate,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Ouse Rv at 3B Weir (H),2.15pm Fri,3.82,falling,,moderate,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Clyde Rv ds Lake Cresent (D),1.00pm Fri,0.48,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Clyde Rv at Bothwell (D),1.00pm Fri,1.47,rising,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Meadowbank HEC (H),2.15pm Fri,73.03^,steady,0.12 below FSL,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Derwent Rv blw Meadowbank Dam (H),2.15pm Fri,2.53,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Tyenna Rv at Newbury (D),1.00pm Fri,0.73,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Styx River at Bruces Bridge,2.04pm Fri,1.17,steady,4.33 below bridge,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Plenty River at Feilton,2.26pm Fri,1.33,steady,3.24 below bridge,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
Derwent Rv at Macquarie Plains (D),1.46pm Fri,0.70,rising,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,TAS
