Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,Smithton-Burnie Coast,2022-10-14 09:10:02.041186+11:00,TAS
Duck Rv at Scotchtown (D),7.00am Fri,2.75,rising,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Forth,Forth,Forth,Forth,Forth,Forth,Forth,2022-10-14 09:10:02.041186+11:00,TAS
Forth Rv (Abv Lemonthyme PS) (H),8.45am Fri,4.91,falling,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Lake Cethana Dam (H),8.30am Fri,223.86^,steady,2.88 above FSL,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Lake Barrington Dam (H),8.45am Fri,123.18^,steady,1.26 above FSL,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Lake Paloona Dam (Forth Rv) (H),8.45am Fri,52.50^,steady,0.84 below FSL,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Middlesex Plain (Iris Rv) (H),4.00am Fri,1.50,falling,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Lake Gairdner Dam (H),8.45am Fri,474.10^,falling,1.66 above FSL,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Wilmot Rv (Abv Forth) (H),8.45am Fri,4.79,falling,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Forth Rv blw Wilmot (H),8.45am Fri,4.57,falling,,minor,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Mersey,Mersey,Mersey,Mersey,Mersey,Mersey,Mersey,2022-10-14 09:10:02.041186+11:00,TAS
Rowallan Dam (H),8.45am Fri,481.13^,steady,6.55 below FSL,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Mersey Rv (Abv Arm) (H),8.30am Fri,0.39,steady,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Abv Mersey Rv (Arm Rv) (H),8.30am Fri,1.74,steady,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Abv Lake Mackenzie (H),8.45pm Thu,2.10,steady,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Parangana Dam (H),8.45am Fri,382.68^,steady,1.68 above FSL,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Mersey Rv at Liena (H),8.45am Fri,2.88,falling,,minor,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Mersey Rv at Kimberley,9.00am Fri,4.45,rising,,major,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Mersey Rv at Shale Rd (D),7.15am Fri,8.74,rising,,,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
Mersey Rv at Latrobe Bridge,9.00am Fri,4.50,rising,,major,Plot | Table,2022-10-14 09:10:02.041186+11:00,TAS
