Date,Mean,Qual,Cutoff,Site,City
2000-02-10,,255,2000-02-10,405715,shepparton
2000-03-10,0.44,2,2000-03-10,405715,shepparton
2000-04-10,0.419,2,2000-04-10,405715,shepparton
2000-05-10,0.367,2,2000-05-10,405715,shepparton
2000-06-10,0.356,2,2000-06-10,405715,shepparton
2000-07-10,0.306,2,2000-07-10,405715,shepparton
2000-08-10,0.305,2,2000-08-10,405715,shepparton
2000-09-10,0.334,2,2000-09-10,405715,shepparton
2000-10-10,0.332,2,2000-10-10,405715,shepparton
2000-11-10,0.387,2,2000-11-10,405715,shepparton
2000-12-10,0.392,2,2000-12-10,405715,shepparton
2000-10-13,0.51,2,2000-10-13,405715,shepparton
2000-10-14,0.437,2,2000-10-14,405715,shepparton
2000-10-15,0.365,2,2000-10-15,405715,shepparton
2000-10-16,0.331,2,2000-10-16,405715,shepparton
2000-10-17,0.425,2,2000-10-17,405715,shepparton
2000-10-18,0.435,2,2000-10-18,405715,shepparton
2000-10-19,0.485,2,2000-10-19,405715,shepparton
2000-10-20,0.461,2,2000-10-20,405715,shepparton
2000-10-21,0.439,2,2000-10-21,405715,shepparton
2000-10-22,0.432,2,2000-10-22,405715,shepparton
2000-10-23,0.445,2,2000-10-23,405715,shepparton
2000-10-24,0.6,2,2000-10-24,405715,shepparton
2000-10-25,0.536,2,2000-10-25,405715,shepparton
2000-10-26,0.43,2,2000-10-26,405715,shepparton
2000-10-27,0.37,2,2000-10-27,405715,shepparton
2000-10-28,0.32,2,2000-10-28,405715,shepparton
2000-10-29,0.315,2,2000-10-29,405715,shepparton
2000-10-30,0.411,2,2000-10-30,405715,shepparton
2000-10-31,0.432,2,2000-10-31,405715,shepparton
2000-01-11,0.446,2,2000-01-11,405715,shepparton
2000-02-11,0.575,2,2000-02-11,405715,shepparton
2000-03-11,0.487,2,2000-03-11,405715,shepparton
2000-04-11,0.432,2,2000-04-11,405715,shepparton
2000-05-11,0.367,2,2000-05-11,405715,shepparton
2000-06-11,0.348,2,2000-06-11,405715,shepparton
2000-07-11,0.34,2,2000-07-11,405715,shepparton
2000-08-11,0.342,2,2000-08-11,405715,shepparton
2000-09-11,0.317,2,2000-09-11,405715,shepparton
2000-10-11,0.375,2,2000-10-11,405715,shepparton
2000-11-11,0.506,2,2000-11-11,405715,shepparton
2000-12-11,0.553,2,2000-12-11,405715,shepparton
2000-11-13,0.529,2,2000-11-13,405715,shepparton
2000-11-14,0.547,2,2000-11-14,405715,shepparton
2000-11-15,0.45,2,2000-11-15,405715,shepparton
2000-11-16,0.411,2,2000-11-16,405715,shepparton
2000-11-17,0.321,2,2000-11-17,405715,shepparton
2000-11-18,0.44,2,2000-11-18,405715,shepparton
2000-11-19,0.447,2,2000-11-19,405715,shepparton
2000-11-20,0.516,2,2000-11-20,405715,shepparton
2000-11-21,0.505,2,2000-11-21,405715,shepparton
2000-11-22,0.388,2,2000-11-22,405715,shepparton
2000-11-23,0.362,2,2000-11-23,405715,shepparton
2000-11-24,0.307,2,2000-11-24,405715,shepparton
2000-11-25,0.317,2,2000-11-25,405715,shepparton
2000-11-26,0.385,2,2000-11-26,405715,shepparton
2000-11-27,0.339,2,2000-11-27,405715,shepparton
2000-11-28,0.317,2,2000-11-28,405715,shepparton
2000-11-29,0.308,2,2000-11-29,405715,shepparton
2000-11-30,0.309,2,2000-11-30,405715,shepparton
2000-01-12,0.319,2,2000-01-12,405715,shepparton
2000-02-12,0.31,2,2000-02-12,405715,shepparton
2000-03-12,0.309,2,2000-03-12,405715,shepparton
2000-04-12,0.322,2,2000-04-12,405715,shepparton
2000-05-12,0.379,2,2000-05-12,405715,shepparton
2000-06-12,0.311,2,2000-06-12,405715,shepparton
2000-07-12,0.336,2,2000-07-12,405715,shepparton
2000-08-12,0.418,2,2000-08-12,405715,shepparton
2000-09-12,0.321,2,2000-09-12,405715,shepparton
2000-10-12,0.332,2,2000-10-12,405715,shepparton
2000-11-12,0.394,2,2000-11-12,405715,shepparton
2000-12-12,0.368,2,2000-12-12,405715,shepparton
2000-12-13,0.439,2,2000-12-13,405715,shepparton
2000-12-14,0.406,2,2000-12-14,405715,shepparton
2000-12-15,0.492,2,2000-12-15,405715,shepparton
2000-12-16,0.408,2,2000-12-16,405715,shepparton
2000-12-17,0.409,2,2000-12-17,405715,shepparton
2000-12-18,0.408,2,2000-12-18,405715,shepparton
2000-12-19,0.504,2,2000-12-19,405715,shepparton
2000-12-20,0.371,2,2000-12-20,405715,shepparton
2000-12-21,0.369,2,2000-12-21,405715,shepparton
2000-12-22,0.455,2,2000-12-22,405715,shepparton
2000-12-23,0.546,2,2000-12-23,405715,shepparton
2000-12-24,0.5,2,2000-12-24,405715,shepparton
2000-12-25,0.488,2,2000-12-25,405715,shepparton
2000-12-26,0.508,2,2000-12-26,405715,shepparton
2000-12-27,0.556,2,2000-12-27,405715,shepparton
