Date,Mean,Qual,Cutoff,Site,City
1991-04-18,,255,1991-04-18,406265,echuca
1991-04-19,87.847,1,1991-04-19,406265,echuca
1991-04-20,87.819,1,1991-04-20,406265,echuca
1991-04-21,87.785,1,1991-04-21,406265,echuca
1991-04-22,87.768,1,1991-04-22,406265,echuca
1991-04-23,87.754,1,1991-04-23,406265,echuca
1991-04-24,87.734,1,1991-04-24,406265,echuca
1991-04-25,87.726,1,1991-04-25,406265,echuca
1991-04-26,87.715,1,1991-04-26,406265,echuca
1991-04-27,87.694,1,1991-04-27,406265,echuca
1991-04-28,87.692,1,1991-04-28,406265,echuca
1991-04-29,87.767,1,1991-04-29,406265,echuca
1991-04-30,87.805,1,1991-04-30,406265,echuca
1991-01-05,87.795,1,1991-01-05,406265,echuca
1991-02-05,87.768,1,1991-02-05,406265,echuca
1991-03-05,87.745,1,1991-03-05,406265,echuca
1991-04-05,87.725,1,1991-04-05,406265,echuca
1991-05-05,87.708,1,1991-05-05,406265,echuca
1991-06-05,87.687,1,1991-06-05,406265,echuca
1991-07-05,87.664,1,1991-07-05,406265,echuca
1991-08-05,87.654,1,1991-08-05,406265,echuca
1991-09-05,87.635,1,1991-09-05,406265,echuca
1991-10-05,87.615,1,1991-10-05,406265,echuca
1991-11-05,87.617,1,1991-11-05,406265,echuca
1991-12-05,87.624,1,1991-12-05,406265,echuca
1991-05-13,87.588,1,1991-05-13,406265,echuca
1991-05-14,87.572,1,1991-05-14,406265,echuca
1991-05-15,87.564,1,1991-05-15,406265,echuca
1991-05-16,87.541,1,1991-05-16,406265,echuca
1991-05-17,87.469,1,1991-05-17,406265,echuca
1991-05-18,87.524,1,1991-05-18,406265,echuca
1991-05-19,87.595,1,1991-05-19,406265,echuca
1991-05-20,87.611,1,1991-05-20,406265,echuca
1991-05-21,87.584,1,1991-05-21,406265,echuca
1991-05-22,87.568,1,1991-05-22,406265,echuca
1991-05-23,87.578,1,1991-05-23,406265,echuca
1991-05-24,87.673,1,1991-05-24,406265,echuca
1991-05-25,87.711,1,1991-05-25,406265,echuca
1991-05-26,87.7,1,1991-05-26,406265,echuca
1991-05-27,87.625,1,1991-05-27,406265,echuca
1991-05-28,87.593,1,1991-05-28,406265,echuca
1991-05-29,87.587,1,1991-05-29,406265,echuca
1991-05-30,87.568,1,1991-05-30,406265,echuca
1991-05-31,87.55,1,1991-05-31,406265,echuca
1991-01-06,87.573,1,1991-01-06,406265,echuca
1991-02-06,87.575,1,1991-02-06,406265,echuca
1991-03-06,87.581,1,1991-03-06,406265,echuca
1991-04-06,87.576,1,1991-04-06,406265,echuca
1991-05-06,87.576,1,1991-05-06,406265,echuca
1991-06-06,87.6,1,1991-06-06,406265,echuca
1991-07-06,87.617,1,1991-07-06,406265,echuca
1991-08-06,87.603,1,1991-08-06,406265,echuca
1991-09-06,87.596,1,1991-09-06,406265,echuca
1991-10-06,87.628,1,1991-10-06,406265,echuca
1991-11-06,87.686,1,1991-11-06,406265,echuca
1991-12-06,87.678,1,1991-12-06,406265,echuca
1991-06-13,87.672,1,1991-06-13,406265,echuca
1991-06-14,87.671,1,1991-06-14,406265,echuca
1991-06-15,87.669,1,1991-06-15,406265,echuca
1991-06-16,87.682,1,1991-06-16,406265,echuca
1991-06-17,87.753,1,1991-06-17,406265,echuca
1991-06-18,87.752,1,1991-06-18,406265,echuca
1991-06-19,87.751,1,1991-06-19,406265,echuca
1991-06-20,87.759,1,1991-06-20,406265,echuca
1991-06-21,87.758,1,1991-06-21,406265,echuca
1991-06-22,87.741,1,1991-06-22,406265,echuca
1991-06-23,87.741,1,1991-06-23,406265,echuca
1991-06-24,87.755,1,1991-06-24,406265,echuca
1991-06-25,87.754,1,1991-06-25,406265,echuca
1991-06-26,87.754,1,1991-06-26,406265,echuca
1991-06-27,87.758,1,1991-06-27,406265,echuca
1991-06-28,87.759,1,1991-06-28,406265,echuca
1991-06-29,87.787,1,1991-06-29,406265,echuca
1991-06-30,87.799,1,1991-06-30,406265,echuca
1991-01-07,87.831,1,1991-01-07,406265,echuca
1991-02-07,87.958,1,1991-02-07,406265,echuca
1991-03-07,88.004,1,1991-03-07,406265,echuca
1991-04-07,87.941,1,1991-04-07,406265,echuca
1991-05-07,87.95,1,1991-05-07,406265,echuca
1991-06-07,87.995,1,1991-06-07,406265,echuca
1991-07-07,89.413,1,1991-07-07,406265,echuca
1991-08-07,88.873,1,1991-08-07,406265,echuca
1991-09-07,88.501,1,1991-09-07,406265,echuca
1991-10-07,88.731,1,1991-10-07,406265,echuca
1991-11-07,88.991,1,1991-11-07,406265,echuca
1991-12-07,89.067,1,1991-12-07,406265,echuca
1991-07-13,88.843,1,1991-07-13,406265,echuca
1991-07-14,88.469,1,1991-07-14,406265,echuca
1991-07-15,88.14,1,1991-07-15,406265,echuca
1991-07-16,88.022,1,1991-07-16,406265,echuca
1991-07-17,87.966,1,1991-07-17,406265,echuca
1991-07-18,87.902,1,1991-07-18,406265,echuca
1991-07-19,87.858,1,1991-07-19,406265,echuca
1991-07-20,87.826,1,1991-07-20,406265,echuca
1991-07-21,87.799,1,1991-07-21,406265,echuca
1991-07-22,87.781,1,1991-07-22,406265,echuca
1991-07-23,87.766,1,1991-07-23,406265,echuca
1991-07-24,87.751,1,1991-07-24,406265,echuca
1991-07-25,87.742,1,1991-07-25,406265,echuca
1991-07-26,87.732,1,1991-07-26,406265,echuca
1991-07-27,87.72,1,1991-07-27,406265,echuca
1991-07-28,87.698,1,1991-07-28,406265,echuca
1991-07-29,87.673,1,1991-07-29,406265,echuca
