Date,Mean,Qual,Cutoff,Site,City
1977-06-23,,255,1977-06-23,404222,shepparton
1977-06-24,1.247,2,1977-06-24,404222,shepparton
1977-06-25,1.173,2,1977-06-25,404222,shepparton
1977-06-26,1.139,2,1977-06-26,404222,shepparton
1977-06-27,1.105,2,1977-06-27,404222,shepparton
1977-06-28,1.09,2,1977-06-28,404222,shepparton
1977-06-29,1.094,2,1977-06-29,404222,shepparton
1977-06-30,1.143,2,1977-06-30,404222,shepparton
1977-01-07,1.555,2,1977-01-07,404222,shepparton
1977-02-07,1.749,2,1977-02-07,404222,shepparton
1977-03-07,1.46,2,1977-03-07,404222,shepparton
1977-04-07,1.296,2,1977-04-07,404222,shepparton
1977-05-07,1.212,2,1977-05-07,404222,shepparton
1977-06-07,1.158,2,1977-06-07,404222,shepparton
1977-07-07,1.117,2,1977-07-07,404222,shepparton
1977-08-07,1.094,2,1977-08-07,404222,shepparton
1977-09-07,1.082,2,1977-09-07,404222,shepparton
1977-10-07,1.071,2,1977-10-07,404222,shepparton
1977-11-07,1.064,2,1977-11-07,404222,shepparton
1977-12-07,1.055,2,1977-12-07,404222,shepparton
1977-07-13,1.052,2,1977-07-13,404222,shepparton
1977-07-14,1.052,2,1977-07-14,404222,shepparton
1977-07-15,1.047,2,1977-07-15,404222,shepparton
1977-07-16,1.046,2,1977-07-16,404222,shepparton
1977-07-17,1.053,2,1977-07-17,404222,shepparton
1977-07-18,1.058,2,1977-07-18,404222,shepparton
1977-07-19,1.051,2,1977-07-19,404222,shepparton
1977-07-20,1.044,2,1977-07-20,404222,shepparton
1977-07-21,1.036,2,1977-07-21,404222,shepparton
1977-07-22,1.027,2,1977-07-22,404222,shepparton
1977-07-23,1.024,2,1977-07-23,404222,shepparton
1977-07-24,1.024,2,1977-07-24,404222,shepparton
1977-07-25,1.025,2,1977-07-25,404222,shepparton
1977-07-26,1.038,2,1977-07-26,404222,shepparton
1977-07-27,1.065,2,1977-07-27,404222,shepparton
1977-07-28,1.204,2,1977-07-28,404222,shepparton
1977-07-29,1.497,2,1977-07-29,404222,shepparton
1977-07-30,1.437,2,1977-07-30,404222,shepparton
1977-07-31,1.314,2,1977-07-31,404222,shepparton
1977-01-08,1.247,2,1977-01-08,404222,shepparton
1977-02-08,1.2,2,1977-02-08,404222,shepparton
1977-03-08,1.157,2,1977-03-08,404222,shepparton
1977-04-08,1.142,2,1977-04-08,404222,shepparton
1977-05-08,1.134,2,1977-05-08,404222,shepparton
1977-06-08,1.117,2,1977-06-08,404222,shepparton
1977-07-08,1.126,2,1977-07-08,404222,shepparton
1977-08-08,1.137,2,1977-08-08,404222,shepparton
1977-09-08,1.09,2,1977-09-08,404222,shepparton
1977-10-08,1.082,2,1977-10-08,404222,shepparton
1977-11-08,1.106,2,1977-11-08,404222,shepparton
1977-12-08,1.099,2,1977-12-08,404222,shepparton
1977-08-13,1.072,2,1977-08-13,404222,shepparton
1977-08-14,1.06,2,1977-08-14,404222,shepparton
1977-08-15,1.082,2,1977-08-15,404222,shepparton
1977-08-16,1.075,2,1977-08-16,404222,shepparton
1977-08-17,1.065,2,1977-08-17,404222,shepparton
1977-08-18,1.046,2,1977-08-18,404222,shepparton
1977-08-19,1.044,2,1977-08-19,404222,shepparton
1977-08-20,1.054,2,1977-08-20,404222,shepparton
1977-08-21,1.085,2,1977-08-21,404222,shepparton
1977-08-22,1.099,2,1977-08-22,404222,shepparton
1977-08-23,1.107,2,1977-08-23,404222,shepparton
1977-08-24,1.111,2,1977-08-24,404222,shepparton
1977-08-25,1.131,2,1977-08-25,404222,shepparton
1977-08-26,1.151,2,1977-08-26,404222,shepparton
1977-08-27,1.144,2,1977-08-27,404222,shepparton
1977-08-28,1.134,2,1977-08-28,404222,shepparton
1977-08-29,1.114,2,1977-08-29,404222,shepparton
1977-08-30,1.086,2,1977-08-30,404222,shepparton
1977-08-31,1.071,2,1977-08-31,404222,shepparton
1977-01-09,1.069,2,1977-01-09,404222,shepparton
1977-02-09,1.073,2,1977-02-09,404222,shepparton
1977-03-09,1.091,2,1977-03-09,404222,shepparton
1977-04-09,1.09,2,1977-04-09,404222,shepparton
1977-05-09,1.214,2,1977-05-09,404222,shepparton
1977-06-09,1.279,2,1977-06-09,404222,shepparton
1977-07-09,1.284,2,1977-07-09,404222,shepparton
1977-08-09,1.264,2,1977-08-09,404222,shepparton
1977-09-09,1.259,2,1977-09-09,404222,shepparton
1977-10-09,1.238,2,1977-10-09,404222,shepparton
1977-11-09,1.14,2,1977-11-09,404222,shepparton
1977-12-09,1.129,2,1977-12-09,404222,shepparton
1977-09-13,1.163,2,1977-09-13,404222,shepparton
1977-09-14,1.149,2,1977-09-14,404222,shepparton
1977-09-15,1.154,2,1977-09-15,404222,shepparton
1977-09-16,1.196,2,1977-09-16,404222,shepparton
1977-09-17,1.274,2,1977-09-17,404222,shepparton
1977-09-18,1.155,2,1977-09-18,404222,shepparton
1977-09-19,1.092,2,1977-09-19,404222,shepparton
1977-09-20,1.068,2,1977-09-20,404222,shepparton
1977-09-21,1.057,2,1977-09-21,404222,shepparton
1977-09-22,1.067,2,1977-09-22,404222,shepparton
1977-09-23,1.047,2,1977-09-23,404222,shepparton
1977-09-24,1.022,2,1977-09-24,404222,shepparton
1977-09-25,1.006,2,1977-09-25,404222,shepparton
1977-09-26,1.006,2,1977-09-26,404222,shepparton
1977-09-27,0.982,2,1977-09-27,404222,shepparton
1977-09-28,0.988,2,1977-09-28,404222,shepparton
1977-09-29,0.99,2,1977-09-29,404222,shepparton
1977-09-30,0.924,2,1977-09-30,404222,shepparton
1977-01-10,0.875,2,1977-01-10,404222,shepparton
1977-02-10,0.853,2,1977-02-10,404222,shepparton
1977-03-10,0.994,2,1977-03-10,404222,shepparton
1977-04-10,1.015,2,1977-04-10,404222,shepparton
1977-05-10,1.58,2,1977-05-10,404222,shepparton
1977-06-10,1.076,2,1977-06-10,404222,shepparton
1977-07-10,1.101,2,1977-07-10,404222,shepparton
1977-08-10,1.083,2,1977-08-10,404222,shepparton
1977-09-10,1.115,2,1977-09-10,404222,shepparton
1977-10-10,1.076,2,1977-10-10,404222,shepparton
1977-11-10,1.04,2,1977-11-10,404222,shepparton
1977-12-10,1.145,2,1977-12-10,404222,shepparton
1977-10-13,1.144,2,1977-10-13,404222,shepparton
1977-10-14,1.038,2,1977-10-14,404222,shepparton
1977-10-15,1.008,2,1977-10-15,404222,shepparton
1977-10-16,0.969,2,1977-10-16,404222,shepparton
1977-10-17,0.974,2,1977-10-17,404222,shepparton
1977-10-18,0.968,2,1977-10-18,404222,shepparton
1977-10-19,0.919,2,1977-10-19,404222,shepparton
1977-10-20,0.907,2,1977-10-20,404222,shepparton
1977-10-21,0.926,2,1977-10-21,404222,shepparton
1977-10-22,0.983,2,1977-10-22,404222,shepparton
1977-10-23,0.924,2,1977-10-23,404222,shepparton
1977-10-24,0.876,2,1977-10-24,404222,shepparton
1977-10-25,0.897,2,1977-10-25,404222,shepparton
1977-10-26,0.875,2,1977-10-26,404222,shepparton
1977-10-27,0.862,2,1977-10-27,404222,shepparton
1977-10-28,0.849,2,1977-10-28,404222,shepparton
1977-10-29,0.987,2,1977-10-29,404222,shepparton
1977-10-30,1.166,2,1977-10-30,404222,shepparton
1977-10-31,1.207,2,1977-10-31,404222,shepparton
1977-01-11,1.155,2,1977-01-11,404222,shepparton
1977-02-11,1.128,2,1977-02-11,404222,shepparton
1977-03-11,2.038,2,1977-03-11,404222,shepparton
1977-04-11,2.725,2,1977-04-11,404222,shepparton
1977-05-11,2.765,2,1977-05-11,404222,shepparton
1977-06-11,2.713,2,1977-06-11,404222,shepparton
1977-07-11,2.718,2,1977-07-11,404222,shepparton
1977-08-11,2.757,2,1977-08-11,404222,shepparton
1977-09-11,2.762,2,1977-09-11,404222,shepparton
1977-10-11,2.753,2,1977-10-11,404222,shepparton
1977-11-11,2.759,2,1977-11-11,404222,shepparton
1977-12-11,2.761,2,1977-12-11,404222,shepparton
1977-11-13,2.762,2,1977-11-13,404222,shepparton
1977-11-14,2.76,2,1977-11-14,404222,shepparton
1977-11-15,2.75,2,1977-11-15,404222,shepparton
1977-11-16,2.728,2,1977-11-16,404222,shepparton
1977-11-17,2.722,2,1977-11-17,404222,shepparton
1977-11-18,2.723,2,1977-11-18,404222,shepparton
1977-11-19,2.714,2,1977-11-19,404222,shepparton
1977-11-20,2.712,2,1977-11-20,404222,shepparton
1977-11-21,2.711,2,1977-11-21,404222,shepparton
1977-11-22,2.712,2,1977-11-22,404222,shepparton
1977-11-23,2.69,2,1977-11-23,404222,shepparton
1977-11-24,2.692,2,1977-11-24,404222,shepparton
1977-11-25,2.695,2,1977-11-25,404222,shepparton
1977-11-26,2.663,2,1977-11-26,404222,shepparton
1977-11-27,2.664,2,1977-11-27,404222,shepparton
1977-11-28,2.678,2,1977-11-28,404222,shepparton
1977-11-29,2.683,2,1977-11-29,404222,shepparton
1977-11-30,2.68,2,1977-11-30,404222,shepparton
1977-01-12,2.648,2,1977-01-12,404222,shepparton
1977-02-12,2.405,2,1977-02-12,404222,shepparton
1977-03-12,1.765,2,1977-03-12,404222,shepparton
1977-04-12,1.448,2,1977-04-12,404222,shepparton
1977-05-12,2.103,2,1977-05-12,404222,shepparton
1977-06-12,1.378,2,1977-06-12,404222,shepparton
1977-07-12,1.292,2,1977-07-12,404222,shepparton
1977-08-12,1.285,2,1977-08-12,404222,shepparton
1977-09-12,1.253,2,1977-09-12,404222,shepparton
1977-10-12,1.28,2,1977-10-12,404222,shepparton
1977-11-12,1.331,2,1977-11-12,404222,shepparton
1977-12-12,1.319,2,1977-12-12,404222,shepparton
1977-12-13,1.299,2,1977-12-13,404222,shepparton
1977-12-14,1.317,2,1977-12-14,404222,shepparton
1977-12-15,1.338,2,1977-12-15,404222,shepparton
1977-12-16,1.337,2,1977-12-16,404222,shepparton
