Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Wentworth (Lock 10),5.00pm Thu,31.79,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 9 (DEW),5.05pm Thu,28.26,rising,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 9 (DEW),5.05pm Thu,28.29,steady,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 8 (DEW),5.05pm Thu,26.36,steady,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 8 (DEW),5.05pm Thu,26.35,steady,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Lake Victoria (DEW),5.05pm Thu,26.21,steady,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 7 (DEW),5.05pm Thu,24.66,steady,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 6 (DEW),5.05pm Thu,19.65,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 6 (DEW),5.05pm Thu,19.58,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Chowilla DS Monoman Ck (DEW),5.00pm Thu,19.16,steady,,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 5 (DEW),4.00pm Thu,16.31,rising,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 5 (DEW),4.00pm Thu,16.20,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Lyrup Pump Stn (DEW),4.00pm Thu,14.84,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Berri Pump Stn (DEW),5.05pm Thu,14.39,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 4 (DEW),5.05pm Thu,13.99,falling,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 4 (DEW),5.05pm Thu,13.95,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Loxton Pump Stn (DEW),3.05pm Thu,12.68,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 3 (DEW),5.05pm Thu,9.82,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 3 (DEW),5.05pm Thu,9.67,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Overland Corner (DEW),5.05pm Thu,9.08,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 2 (DEW),5.10pm Thu,6.92,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 2 (DEW),5.10pm Thu,6.86,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray US Lock 1 (DEW),5.05pm Thu,3.29,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray DS Lock 1 (DEW),5.05pm Thu,3.31,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Swan Reach 3km DS Ferry,5.10pm Thu,2.09,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Marne River at Marne Gorge (DEW),3.55pm Thu,1.12,steady,0.12 above weir,,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Walker Flat (DEW),5.05pm Thu,1.36,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Mannum Wharf (DEW),5.05pm Thu,0.92,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray at Murray Bridge/Long Is.,5.05pm Thu,0.76,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
R Murray 2km DS Wellington ferry,5.10pm Thu,0.81,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
L Alexandrina at Milang Jetty (DEW),5.05pm Thu,0.65,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Lake Albert at Meningie Jetty (DEW),5.05pm Thu,0.73,falling,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Goolwa Channel 2km West of Clayton,5.05pm Thu,0.61,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,5.05pm Thu,0.56,steady,3.44 below approaches,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
US Goolwa Barrage (DEW),5.05pm Thu,0.56,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
DS Goolwa Barrage (DEW),5.05pm Thu,0.44,falling,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
Tauwitchere Barrage (DEW),5.05pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 18:20:01.765230+11:00,SA
